cell_id	sample_id	stage	sequencing_batch	theiler_stage	evaluation_split
cell_00476	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00477	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00478	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00479	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00480	sample_8f0f1108c0f2	E7.0	batch_99e77b46b26f	TS10	training
cell_00481	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00482	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00483	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00484	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00485	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00486	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00487	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00488	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00489	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00490	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00491	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00492	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00493	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00494	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00495	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00496	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00497	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00498	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00499	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00500	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00501	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00502	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00503	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00504	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00505	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00506	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00507	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00508	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00509	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00510	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00511	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00512	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00513	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00514	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00515	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00516	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00517	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00518	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00519	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00520	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00521	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00522	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00523	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00524	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00525	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00526	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00527	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00528	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00529	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00530	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00531	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00532	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00533	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00534	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00535	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00536	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00537	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00538	sample_f1bda1bc7030	E7.75	batch_296560d7244c	TS11	training
cell_00539	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00540	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00541	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00542	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00543	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00544	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00545	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00546	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00547	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00548	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00549	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00550	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00551	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00552	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00553	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00554	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00555	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00556	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00557	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00558	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00559	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00560	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00561	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00562	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00563	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00564	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00565	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00566	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00567	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00568	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00569	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00570	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00571	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00572	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00573	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00574	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00575	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00576	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00577	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00578	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00579	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00580	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00581	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00582	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00583	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00584	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00585	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00586	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00587	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00588	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00589	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00590	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00591	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00592	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00593	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00594	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00595	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00596	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00597	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00598	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00599	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00600	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00601	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00602	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00603	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00604	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00605	sample_845af1a54bbe	E7.75	batch_296560d7244c	TS11	training
cell_00606	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00607	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00608	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00609	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00610	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00611	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00612	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00613	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00614	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00615	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00616	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00617	sample_2c40882102a2	E7.0	batch_296560d7244c	TS10	training
cell_00618	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00619	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00620	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00621	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00622	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00623	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00624	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00625	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00626	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00627	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00628	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00629	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00630	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00631	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00632	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00633	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00634	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00635	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00636	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00637	sample_0cbf47397b25	E7.0	batch_296560d7244c	TS10	training
cell_00638	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00639	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00640	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00641	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00642	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00643	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00644	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00645	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00646	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00647	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00648	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00649	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00650	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00651	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00652	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00653	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00654	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00655	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00656	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00657	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00658	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00659	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00660	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00661	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00662	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00663	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00664	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00665	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00666	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00667	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00668	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00669	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00670	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00671	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00672	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00673	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00674	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00675	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00676	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00677	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00678	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00679	sample_3060352b010a	E8.0	batch_296560d7244c	TS12	training
cell_00680	sample_82741efcc1cc				holdout
cell_00681	sample_82741efcc1cc				holdout
cell_00682	sample_82741efcc1cc				holdout
cell_00683	sample_82741efcc1cc				holdout
cell_00684	sample_82741efcc1cc				holdout
cell_00685	sample_82741efcc1cc				holdout
cell_00686	sample_82741efcc1cc				holdout
cell_00687	sample_82741efcc1cc				holdout
cell_00688	sample_82741efcc1cc				holdout
cell_00689	sample_82741efcc1cc				holdout
cell_00690	sample_82741efcc1cc				holdout
cell_00691	sample_82741efcc1cc				holdout
cell_00692	sample_82741efcc1cc				holdout
cell_00693	sample_82741efcc1cc				holdout
cell_00694	sample_82741efcc1cc				holdout
cell_00695	sample_82741efcc1cc				holdout
cell_00696	sample_82741efcc1cc				holdout
cell_00697	sample_82741efcc1cc				holdout
cell_00698	sample_82741efcc1cc				holdout
cell_00699	sample_82741efcc1cc				holdout
cell_00700	sample_82741efcc1cc				holdout
cell_00701	sample_82741efcc1cc				holdout
cell_00702	sample_82741efcc1cc				holdout
cell_00703	sample_82741efcc1cc				holdout
cell_00704	sample_82741efcc1cc				holdout
cell_00705	sample_82741efcc1cc				holdout
cell_00706	sample_82741efcc1cc				holdout
cell_00707	sample_82741efcc1cc				holdout
cell_00708	sample_82741efcc1cc				holdout
cell_00709	sample_82741efcc1cc				holdout
cell_00710	sample_82741efcc1cc				holdout
cell_00711	sample_82741efcc1cc				holdout
cell_00712	sample_82741efcc1cc				holdout
cell_00713	sample_82741efcc1cc				holdout
cell_00714	sample_82741efcc1cc				holdout
cell_00715	sample_82741efcc1cc				holdout
cell_00716	sample_82741efcc1cc				holdout
cell_00717	sample_82741efcc1cc				holdout
cell_00718	sample_82741efcc1cc				holdout
cell_00719	sample_82741efcc1cc				holdout
cell_00720	sample_82741efcc1cc				holdout
cell_00721	sample_82741efcc1cc				holdout
cell_00722	sample_82741efcc1cc				holdout
cell_00723	sample_82741efcc1cc				holdout
cell_00724	sample_82741efcc1cc				holdout
cell_00725	sample_82741efcc1cc				holdout
cell_00726	sample_82741efcc1cc				holdout
cell_00727	sample_82741efcc1cc				holdout
cell_00728	sample_82741efcc1cc				holdout
cell_00729	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00730	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00731	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00732	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00733	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00734	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00735	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00736	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00737	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00738	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00739	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00740	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00741	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00742	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00743	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00744	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00745	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00746	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00747	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00748	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00749	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00750	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00751	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00752	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00753	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00754	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00755	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00756	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00757	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00758	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00759	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00760	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00761	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00762	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00763	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00764	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00765	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00766	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00767	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00768	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00769	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00770	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00771	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00772	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00773	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00774	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00775	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00776	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00777	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00778	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00779	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00780	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00781	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00782	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00783	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00784	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00785	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00786	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00787	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00788	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00789	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00790	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00791	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00792	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00793	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00794	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00795	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00796	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00797	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00798	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00799	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00800	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00801	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00802	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00803	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00804	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00805	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00806	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00807	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00808	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00809	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00810	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00811	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00812	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00813	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00814	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00815	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00816	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00817	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00818	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00819	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00820	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00821	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00822	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00823	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00824	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00825	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00826	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00827	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00828	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00829	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00830	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00831	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00832	sample_e9c05b05d218	E6.5	batch_296560d7244c	TS9	training
cell_00833	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00834	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00835	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00836	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00837	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00838	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00839	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00840	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00841	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00842	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00843	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00844	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00845	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00846	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00847	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00848	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00849	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00850	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00851	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00852	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00853	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
cell_00854	sample_984f7a5f457a	E7.5	batch_296560d7244c	TS11	training
