accession,assembly_accession,base_count,first_public,set_fasta_ftp
CAAEIE010000000,GCA_900755925,1508053,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIE01.fasta.gz
CAAEIF010000000,GCA_900755935,1593504,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIF01.fasta.gz
CAAEIG010000000,GCA_900755895,3715652,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIG01.fasta.gz
CAAEIH010000000,GCA_900755945,3437106,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIH01.fasta.gz
CAAEII010000000,GCA_900755975,1468603,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEII01.fasta.gz
CAAEIJ010000000,GCA_900755965,2184111,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIJ01.fasta.gz
CAAEIK010000000,GCA_900755955,1884710,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIK01.fasta.gz
CAAEIL010000000,GCA_900755985,2200570,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIL01.fasta.gz
CAAEIM010000000,GCA_900755995,2310000,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIM01.fasta.gz
CAAEIN010000000,GCA_900756045,1896207,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIN01.fasta.gz
CAAEIO010000000,GCA_900756005,2045378,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIO01.fasta.gz
CAAEIP010000000,GCA_900756015,1602673,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIP01.fasta.gz
CAAEIQ010000000,GCA_900756025,6204587,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIQ01.fasta.gz
CAAEIR010000000,GCA_900756035,3616712,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIR01.fasta.gz
CAAEIS010000000,GCA_900756065,3070031,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIS01.fasta.gz
CAAEIT010000000,GCA_900756055,3674307,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIT01.fasta.gz
CAAEIU010000000,GCA_900756075,1947274,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIU01.fasta.gz
CAAEIV010000000,GCA_900756085,2734622,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIV01.fasta.gz
CAAEIW010000000,GCA_900756095,2100642,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIW01.fasta.gz
CAAEIX010000000,GCA_900756115,1633746,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIX01.fasta.gz
CAAEIY010000000,GCA_900756125,2390079,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIY01.fasta.gz
CAAEIZ010000000,GCA_900756105,2223155,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEIZ01.fasta.gz
CAAEJA010000000,GCA_900756145,1467031,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJA01.fasta.gz
CAAEJB010000000,GCA_900756135,2163273,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJB01.fasta.gz
CAAEJC010000000,GCA_900756165,2079733,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJC01.fasta.gz
CAAEJD010000000,GCA_900756185,3944944,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJD01.fasta.gz
CAAEJE010000000,GCA_900756195,1643249,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJE01.fasta.gz
CAAEJF010000000,GCA_900756205,2383087,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJF01.fasta.gz
CAAEJG010000000,GCA_900756215,2010280,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJG01.fasta.gz
CAAEJH010000000,GCA_900756235,1862308,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJH01.fasta.gz
CAAEJI010000000,GCA_900756245,1594466,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJI01.fasta.gz
CAAEJJ010000000,GCA_900756265,1040285,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJJ01.fasta.gz
CAAEJK010000000,GCA_900756285,1697209,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJK01.fasta.gz
CAAEJL010000000,GCA_900756255,1638400,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJL01.fasta.gz
CAAEJM010000000,GCA_900756295,2194459,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJM01.fasta.gz
CAAEJN010000000,GCA_900756305,3792700,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJN01.fasta.gz
CAAEJO010000000,GCA_900756315,2536886,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJO01.fasta.gz
CAAEJP010000000,GCA_900756275,4193018,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJP01.fasta.gz
CAAEJQ010000000,GCA_900756325,1745221,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJQ01.fasta.gz
CAAEJR010000000,GCA_900756335,4413884,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJR01.fasta.gz
CAAEJS010000000,GCA_900756355,2606388,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJS01.fasta.gz
CAAEJT010000000,GCA_900756345,3463474,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJT01.fasta.gz
CAAEJU010000000,GCA_900756375,1221841,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJU01.fasta.gz
CAAEJV010000000,GCA_900756155,1924520,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJV01.fasta.gz
CAAEJW010000000,GCA_900756385,3284523,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJW01.fasta.gz
CAAEJX010000000,GCA_900756365,3073512,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJX01.fasta.gz
CAAEJY010000000,GCA_900756175,1551265,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJY01.fasta.gz
CAAEJZ010000000,GCA_900756395,1684863,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEJZ01.fasta.gz
CAAEKA010000000,GCA_900756405,2502789,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKA01.fasta.gz
CAAEKB010000000,GCA_900756445,2993332,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKB01.fasta.gz
CAAEKC010000000,GCA_900756435,2335255,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKC01.fasta.gz
CAAEKD010000000,GCA_900756225,1251697,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKD01.fasta.gz
CAAEKE010000000,GCA_900756425,3168334,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKE01.fasta.gz
CAAEKF010000000,GCA_900756455,3326345,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKF01.fasta.gz
CAAEKG010000000,GCA_900756465,2370883,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKG01.fasta.gz
CAAEKH010000000,GCA_900756485,1798837,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKH01.fasta.gz
CAAEKI010000000,GCA_900756495,2631762,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKI01.fasta.gz
CAAEKJ010000000,GCA_900756475,1759047,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKJ01.fasta.gz
CAAEKK010000000,GCA_900756515,2135680,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKK01.fasta.gz
CAAEKL010000000,GCA_900756505,2115545,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKL01.fasta.gz
CAAEKM010000000,GCA_900756525,2377590,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKM01.fasta.gz
CAAEKN010000000,GCA_900756535,2145879,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKN01.fasta.gz
CAAEKO010000000,GCA_900756545,2035203,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKO01.fasta.gz
CAAEKP010000000,GCA_900756555,2481411,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKP01.fasta.gz
CAAEKQ010000000,GCA_900756575,2833793,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKQ01.fasta.gz
CAAEKR010000000,GCA_900756565,2058974,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKR01.fasta.gz
CAAEKS010000000,GCA_900756585,2512120,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKS01.fasta.gz
CAAEKT010000000,GCA_900756595,2317662,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKT01.fasta.gz
CAAEKU010000000,GCA_900756615,2571825,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKU01.fasta.gz
CAAEKV010000000,GCA_900756645,1945312,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKV01.fasta.gz
CAAEKW010000000,GCA_900756635,2024770,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKW01.fasta.gz
CAAEKX010000000,GCA_900756605,1989319,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKX01.fasta.gz
CAAEKY010000000,GCA_900756655,1936587,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKY01.fasta.gz
CAAEKZ010000000,GCA_900756665,3336234,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEKZ01.fasta.gz
CAAELA010000000,GCA_900756685,1938481,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELA01.fasta.gz
CAAELB010000000,GCA_900756675,1906682,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELB01.fasta.gz
CAAELC010000000,GCA_900756715,1673357,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELC01.fasta.gz
CAAELD010000000,GCA_900756695,2476499,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELD01.fasta.gz
CAAELE010000000,GCA_900756765,1919497,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELE01.fasta.gz
CAAELF010000000,GCA_900756745,2202759,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELF01.fasta.gz
CAAELG010000000,GCA_900756805,2421169,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELG01.fasta.gz
CAAELH010000000,GCA_900756795,1825652,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELH01.fasta.gz
CAAELI010000000,GCA_900756785,2143210,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELI01.fasta.gz
CAAELJ010000000,GCA_900756725,1971180,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELJ01.fasta.gz
CAAELK010000000,GCA_900756735,2173639,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELK01.fasta.gz
CAAELL010000000,GCA_900756775,2284367,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELL01.fasta.gz
CAAELM010000000,GCA_900756835,2762977,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELM01.fasta.gz
CAAELN010000000,GCA_900756845,1201488,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELN01.fasta.gz
CAAELO010000000,GCA_900756825,3771005,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELO01.fasta.gz
CAAELP010000000,GCA_900756815,3483361,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELP01.fasta.gz
CAAELQ010000000,GCA_900756625,2486787,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELQ01.fasta.gz
CAAELR010000000,GCA_900756855,1051869,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELR01.fasta.gz
CAAELS010000000,GCA_900756885,1650713,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELS01.fasta.gz
CAAELT010000000,GCA_900756905,2721344,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELT01.fasta.gz
CAAELU010000000,GCA_900756895,2961397,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELU01.fasta.gz
CAAELV010000000,GCA_900756865,1907493,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELV01.fasta.gz
CAAELW010000000,GCA_900756875,1886154,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELW01.fasta.gz
CAAELX010000000,GCA_900756925,1574808,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELX01.fasta.gz
CAAELY010000000,GCA_900756915,2049160,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELY01.fasta.gz
CAAELZ010000000,GCA_900756945,2036334,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAELZ01.fasta.gz
CAAEMA010000000,GCA_900756955,1386764,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMA01.fasta.gz
CAAEMB010000000,GCA_900756935,2580840,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMB01.fasta.gz
CAAEMC010000000,GCA_900756995,2010666,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMC01.fasta.gz
CAAEMD010000000,GCA_900756975,1274135,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMD01.fasta.gz
CAAEME010000000,GCA_900756965,2008094,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEME01.fasta.gz
CAAEMF010000000,GCA_900757005,2249105,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMF01.fasta.gz
CAAEMG010000000,GCA_900757025,1723532,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMG01.fasta.gz
CAAEMH010000000,GCA_900757035,1175136,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMH01.fasta.gz
CAAEMI010000000,GCA_900757015,2430494,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMI01.fasta.gz
CAAEMJ010000000,GCA_900757055,2712383,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMJ01.fasta.gz
CAAEMK010000000,GCA_900757085,1799317,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMK01.fasta.gz
CAAEML010000000,GCA_900757045,2648053,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEML01.fasta.gz
CAAEMM010000000,GCA_900757075,1795597,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMM01.fasta.gz
CAAEMN010000000,GCA_900757065,8229135,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMN01.fasta.gz
CAAEMO010000000,GCA_900757095,3424893,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMO01.fasta.gz
CAAEMP010000000,GCA_900757105,1930317,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMP01.fasta.gz
CAAEMQ010000000,GCA_900757115,3343544,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMQ01.fasta.gz
CAAEMR010000000,GCA_900757135,2154514,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMR01.fasta.gz
CAAEMS010000000,GCA_900757125,1550719,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMS01.fasta.gz
CAAEMT010000000,GCA_900757145,2164229,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMT01.fasta.gz
CAAEMU010000000,GCA_900757155,1533235,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMU01.fasta.gz
CAAEMV010000000,GCA_900757175,2880390,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMV01.fasta.gz
CAAEMW010000000,GCA_900757165,2362191,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMW01.fasta.gz
CAAEMX010000000,GCA_900757185,2149360,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMX01.fasta.gz
CAAEMY010000000,GCA_900757215,2182437,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMY01.fasta.gz
CAAEMZ010000000,GCA_900757195,2177020,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEMZ01.fasta.gz
CAAENA010000000,GCA_900757205,2042092,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENA01.fasta.gz
CAAENB010000000,GCA_900757235,1877835,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENB01.fasta.gz
CAAENC010000000,GCA_900757225,2001809,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENC01.fasta.gz
CAAEND010000000,GCA_900757245,1893991,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEND01.fasta.gz
CAAENE010000000,GCA_900757255,2253080,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENE01.fasta.gz
CAAENF010000000,GCA_900757275,2226939,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENF01.fasta.gz
CAAENG010000000,GCA_900757305,1855360,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENG01.fasta.gz
CAAENH010000000,GCA_900757295,1306132,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENH01.fasta.gz
CAAENI010000000,GCA_900757285,2122715,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENI01.fasta.gz
CAAENJ010000000,GCA_900757315,1195823,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENJ01.fasta.gz
CAAENK010000000,GCA_900757325,2531451,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENK01.fasta.gz
CAAENL010000000,GCA_900757335,1115602,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENL01.fasta.gz
CAAENM010000000,GCA_900757345,2422679,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENM01.fasta.gz
CAAENN010000000,GCA_900757375,3916675,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENN01.fasta.gz
CAAENO010000000,GCA_900757385,1940597,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENO01.fasta.gz
CAAENP010000000,GCA_900757395,4069974,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENP01.fasta.gz
CAAENQ010000000,GCA_900757405,2355634,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENQ01.fasta.gz
CAAENR010000000,GCA_900757425,1187028,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENR01.fasta.gz
CAAENS010000000,GCA_900757445,1480144,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENS01.fasta.gz
CAAENT010000000,GCA_900757435,2028966,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENT01.fasta.gz
CAAENU010000000,GCA_900757415,1959654,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENU01.fasta.gz
CAAENV010000000,GCA_900757455,1271458,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENV01.fasta.gz
CAAENW010000000,GCA_900757265,1615884,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENW01.fasta.gz
CAAENX010000000,GCA_900757495,2166498,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENX01.fasta.gz
CAAENY010000000,GCA_900757465,2009504,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENY01.fasta.gz
CAAENZ010000000,GCA_900757475,1218789,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAENZ01.fasta.gz
CAAEOA010000000,GCA_900757485,3134539,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOA01.fasta.gz
CAAEOB010000000,GCA_900757515,2572979,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOB01.fasta.gz
CAAEOC010000000,GCA_900757535,1303371,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOC01.fasta.gz
CAAEOD010000000,GCA_900757525,1772125,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOD01.fasta.gz
CAAEOE010000000,GCA_900757505,2024069,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOE01.fasta.gz
CAAEOF010000000,GCA_900757545,1476957,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOF01.fasta.gz
CAAEOG010000000,GCA_900757555,2628345,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOG01.fasta.gz
CAAEOH010000000,GCA_900757365,2273631,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOH01.fasta.gz
CAAEOI010000000,GCA_900757585,2033238,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOI01.fasta.gz
CAAEOJ010000000,GCA_900757575,2246420,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOJ01.fasta.gz
CAAEOK010000000,GCA_900757565,2080195,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOK01.fasta.gz
CAAEOL010000000,GCA_900757595,2015191,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOL01.fasta.gz
CAAEOM010000000,GCA_900757605,2575403,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOM01.fasta.gz
CAAEON010000000,GCA_900757615,2064336,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEON01.fasta.gz
CAAEOO010000000,GCA_900757645,1186390,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOO01.fasta.gz
CAAEOP010000000,GCA_900757635,1873531,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOP01.fasta.gz
CAAEOQ010000000,GCA_900757625,3206436,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOQ01.fasta.gz
CAAEOR010000000,GCA_900757675,1633400,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOR01.fasta.gz
CAAEOS010000000,GCA_900757665,2487034,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOS01.fasta.gz
CAAEOT010000000,GCA_900757655,1858097,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOT01.fasta.gz
CAAEOU010000000,GCA_900757695,3495135,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOU01.fasta.gz
CAAEOV010000000,GCA_900757685,729391,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOV01.fasta.gz
CAAEOW010000000,GCA_900757705,1954271,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOW01.fasta.gz
CAAEOX010000000,GCA_900757745,1434875,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOX01.fasta.gz
CAAEOY010000000,GCA_900757735,2183799,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOY01.fasta.gz
CAAEOZ010000000,GCA_900757715,2570820,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEOZ01.fasta.gz
CAAEPA010000000,GCA_900757775,1501142,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEPA01.fasta.gz
CAAEPB010000000,GCA_900757805,2888807,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEPB01.fasta.gz
CAAEPC010000000,GCA_900757765,1821943,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEPC01.fasta.gz
CAAEPD010000000,GCA_900757785,3072875,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEPD01.fasta.gz
CAAEPE010000000,GCA_900757795,1968732,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEPE01.fasta.gz
CAAEPF010000000,GCA_900757815,2094612,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAAEPF01.fasta.gz
