pair,Configuration,Pearson_r
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.989198
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.987002
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.85904
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.912774
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.745737
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.843512
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.64641
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.620073
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.785258
hnRNPA2-TAF15(IDR2),B (backbone-swapped),0.819093
hnRNPA3-TAF15(IDR1),A (original),0.656379
hnRNPA3-TAF15(IDR1),A (original),0.573445
hnRNPA3-TAF15(IDR1),A (original),0.584817
hnRNPA3-TAF15(IDR1),A (original),0.679791
hnRNPA3-TAF15(IDR1),A (original),0.790887
hnRNPA3-TAF15(IDR1),A (original),0.660102
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.723209
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.559226
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.775282
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.546676
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.930619
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.497394
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.77866
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.670493
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.796073
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.817066
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.69533
hnRNPA3-TAF15(IDR1),B (backbone-swapped),0.67551
hnRNPA3-TAF15(IDR2),A (original),0.610795
hnRNPA3-TAF15(IDR2),A (original),0.501109
hnRNPA3-TAF15(IDR2),A (original),0.68003
hnRNPA3-TAF15(IDR2),A (original),0.563109
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.709487
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.454122
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.665972
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.871689
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.74828
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.818097
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.892443
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.518084
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.932303
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.734346
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.803973
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.851492
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.742138
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.614737
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.797265
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.760542
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.613618
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.655496
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.849415
hnRNPA3-TAF15(IDR2),B (backbone-swapped),0.255863
TAF15(IDR1)-TAF15(IDR2),A (original),0.581796
TAF15(IDR1)-TAF15(IDR2),A (original),0.725794
TAF15(IDR1)-TAF15(IDR2),A (original),0.727414
TAF15(IDR1)-TAF15(IDR2),A (original),0.871918
TAF15(IDR1)-TAF15(IDR2),A (original),0.749848
TAF15(IDR1)-TAF15(IDR2),A (original),0.698729
TAF15(IDR1)-TAF15(IDR2),A (original),0.685496
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.766712
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.801703
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.631893
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.789626
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.891313
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.741791
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.881383
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.863127
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.82635
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.865498
TAF15(IDR1)-TAF15(IDR2),B (backbone-swapped),0.906479
hnRNPA2-DDX4,A (original),0.303385
hnRNPA2-DDX4,A (original),0.455234
hnRNPA2-DDX4,A (original),0.350342
hnRNPA2-DDX4,A (original),0.289783
hnRNPA2-DDX4,A (original),0.468521
hnRNPA2-DDX4,A (original),0.337226
hnRNPA2-DDX4,A (original),0.153375
hnRNPA2-DDX4,A (original),0.214662
hnRNPA2-DDX4,B (backbone-swapped),0.114442
hnRNPA2-DDX4,B (backbone-swapped),0.165744
hnRNPA2-DDX4,B (backbone-swapped),0.127526
hnRNPA2-DDX4,B (backbone-swapped),0.155213
hnRNPA2-DDX4,B (backbone-swapped),0.10517
hnRNPA2-DDX4,B (backbone-swapped),0.118466
hnRNPA2-DDX4,B (backbone-swapped),0.099614
hnRNPA2-DDX4,B (backbone-swapped),0.066652
hnRNPA2-DDX4,B (backbone-swapped),0.169548
hnRNPA2-DDX4,B (backbone-swapped),0.122947
hnRNPA2-DDX4,B (backbone-swapped),0.265432
hnRNPA2-DDX4,B (backbone-swapped),0.114619
hnRNPA2-DDX4,B (backbone-swapped),0.194615
hnRNPA2-DDX4,B (backbone-swapped),0.06758
hnRNPA2-DDX4,B (backbone-swapped),0.106212
hnRNPA2-DDX4,B (backbone-swapped),0.068738
hnRNPA2-DDX4,B (backbone-swapped),0.173344
hnRNPA2-DDX4,B (backbone-swapped),0.273663
hnRNPA2-DDX4,B (backbone-swapped),0.057008
hnRNPA2-DDX4,B (backbone-swapped),-0.051467
hnRNPA2-DDX4,B (backbone-swapped),0.175219
hnRNPA2-DDX4,B (backbone-swapped),0.170208
hnRNPA2-DDX4,B (backbone-swapped),0.038107
hnRNPA2-DDX4,B (backbone-swapped),0.033661
hnRNPA2-DDX4,B (backbone-swapped),0.221256
hnRNPA2-DDX4,B (backbone-swapped),0.437917
hnRNPA2-DDX4,B (backbone-swapped),0.122031
hnRNPA2-DDX4,B (backbone-swapped),0.057221
hnRNPA2-DDX4,B (backbone-swapped),0.530978
hnRNPA2-DDX4,B (backbone-swapped),0.005513
hnRNPA2-DDX4,B (backbone-swapped),0.256396
hnRNPA2-DDX4,B (backbone-swapped),0.001889
hnRNPA2-DDX4,B (backbone-swapped),0.324304
hnRNPA2-DDX4,B (backbone-swapped),0.047074
hnRNPA2-DDX4,B (backbone-swapped),0.108393
hnRNPA2-DDX4,B (backbone-swapped),0.091482
hnRNPA2-DDX4,B (backbone-swapped),-0.003482
hnRNPA2-DDX4,B (backbone-swapped),-0.036533
hnRNPA2-DDX4,B (backbone-swapped),0.212345
hnRNPA2-DDX4,B (backbone-swapped),0.237458
TIA1-DDX4,A (original),0.228803
TIA1-DDX4,A (original),0.3307
TIA1-DDX4,A (original),0.368829
TIA1-DDX4,A (original),0.059915
TIA1-DDX4,B (backbone-swapped),0.038604
TIA1-DDX4,B (backbone-swapped),0.163377
TIA1-DDX4,B (backbone-swapped),0.030568
TIA1-DDX4,B (backbone-swapped),0.085631
TIA1-DDX4,B (backbone-swapped),0.25866
TIA1-DDX4,B (backbone-swapped),0.226022
TIA1-DDX4,B (backbone-swapped),-0.007692
TIA1-DDX4,B (backbone-swapped),0.27265
TIA1-DDX4,B (backbone-swapped),0.347424
TIA1-DDX4,B (backbone-swapped),0.250807
TIA1-DDX4,B (backbone-swapped),0.050189
TIA1-DDX4,B (backbone-swapped),0.391888
TIA1-DDX4,B (backbone-swapped),0.603511
TIA1-DDX4,B (backbone-swapped),-0.008648
TIA1-DDX4,B (backbone-swapped),0.331336
TIA1-DDX4,B (backbone-swapped),0.543175
TIA1-DDX4,B (backbone-swapped),0.457463
TIA1-DDX4,B (backbone-swapped),0.396411
TIA1-DDX4,B (backbone-swapped),0.197197
TIA1-DDX4,B (backbone-swapped),0.019141
TIA1-DDX4,B (backbone-swapped),0.044599
FMRP-FUS,A (original),-0.064293
FMRP-FUS,A (original),0.004447
FMRP-FUS,A (original),-0.050867
FMRP-FUS,A (original),0.046879
FMRP-FUS,A (original),0.169096
FMRP-FUS,A (original),0.073918
FMRP-FUS,A (original),0.032071
FMRP-FUS,A (original),0.269791
FMRP-FUS,A (original),0.049054
FMRP-FUS,A (original),0.138669
FMRP-FUS,A (original),0.184413
FMRP-FUS,A (original),0.182871
FMRP-FUS,A (original),0.183016
FMRP-FUS,B (backbone-swapped),-0.029144
FMRP-FUS,B (backbone-swapped),-0.048872
FMRP-FUS,B (backbone-swapped),-0.097786
FMRP-FUS,B (backbone-swapped),-0.011215
FMRP-FUS,B (backbone-swapped),0.015229
FMRP-FUS,B (backbone-swapped),0.008804
FMRP-FUS,B (backbone-swapped),0.03733
FMRP-FUS,B (backbone-swapped),-0.083924
FMRP-FUS,B (backbone-swapped),0.112929
FMRP-FUS,B (backbone-swapped),0.043825
FMRP-FUS,B (backbone-swapped),0.024823
FMRP-FUS,B (backbone-swapped),0.124683
FMRP-FUS,B (backbone-swapped),0.056636
FMRP-FUS,B (backbone-swapped),0.016205
FMRP-FUS,B (backbone-swapped),0.055046
FMRP-FUS,B (backbone-swapped),0.036386
FMRP-FUS,B (backbone-swapped),0.024667
FMRP-FUS,B (backbone-swapped),0.085982
FMRP-FUS,B (backbone-swapped),0.101911
FMRP-FUS,B (backbone-swapped),0.110378
FMRP-FUS,B (backbone-swapped),0.058702
FMRP-FUS,B (backbone-swapped),-0.096559
FMRP-FUS,B (backbone-swapped),0.093328
hnRNPA1-FMRP,A (original),-0.005648
hnRNPA1-FMRP,A (original),-0.090018
hnRNPA1-FMRP,A (original),-0.059779
hnRNPA1-FMRP,A (original),0.052098
hnRNPA1-FMRP,A (original),0.136738
hnRNPA1-FMRP,A (original),0.107692
hnRNPA1-FMRP,A (original),0.050146
hnRNPA1-FMRP,A (original),0.082373
hnRNPA1-FMRP,A (original),0.27607
hnRNPA1-FMRP,A (original),0.196307
hnRNPA1-FMRP,B (backbone-swapped),-0.056415
hnRNPA1-FMRP,B (backbone-swapped),-0.132884
hnRNPA1-FMRP,B (backbone-swapped),-0.206149
hnRNPA1-FMRP,B (backbone-swapped),-0.085469
hnRNPA1-FMRP,B (backbone-swapped),0.047341
hnRNPA1-FMRP,B (backbone-swapped),-0.195868
hnRNPA1-FMRP,B (backbone-swapped),-0.202595
hnRNPA1-FMRP,B (backbone-swapped),0.168464
hnRNPA1-FMRP,B (backbone-swapped),0.352952
hnRNPA1-FMRP,B (backbone-swapped),-0.142536
hnRNPA1-FMRP,B (backbone-swapped),-0.133027
hnRNPA1-FMRP,B (backbone-swapped),-0.267905
hnRNPA1-FMRP,B (backbone-swapped),-0.02428
hnRNPA1-FMRP,B (backbone-swapped),-0.098655
hnRNPA1-FMRP,B (backbone-swapped),-0.174336
hnRNPA1-FMRP,B (backbone-swapped),-0.229923
hnRNPA1-FMRP,B (backbone-swapped),-0.071235
hnRNPA1-FMRP,B (backbone-swapped),-0.170386
hnRNPA1-FMRP,B (backbone-swapped),-0.044723
hnRNPA1-FMRP,B (backbone-swapped),-0.112757
hnRNPA1-FMRP,B (backbone-swapped),0.19678
hnRNPA1-FMRP,B (backbone-swapped),-0.186127
hnRNPA1-FMRP,B (backbone-swapped),-0.117844
hnRNPA1-FMRP,B (backbone-swapped),-0.060073
hnRNPA1-FMRP,B (backbone-swapped),-0.010749
hnRNPA1-FMRP,B (backbone-swapped),-0.039405
hnRNPA1-FMRP,B (backbone-swapped),0.072307
hnRNPA1-FMRP,B (backbone-swapped),-0.133652
hnRNPA1-FMRP,B (backbone-swapped),-0.172842
hnRNPA1-FMRP,B (backbone-swapped),-0.11007
hnRNPA2-FMRP,A (original),-0.062515
hnRNPA2-FMRP,A (original),-0.077831
hnRNPA2-FMRP,A (original),-0.099257
hnRNPA2-FMRP,A (original),-0.111036
hnRNPA2-FMRP,A (original),-0.086375
hnRNPA2-FMRP,A (original),0.075511
hnRNPA2-FMRP,A (original),0.109808
hnRNPA2-FMRP,A (original),0.139987
hnRNPA2-FMRP,A (original),0.108398
hnRNPA2-FMRP,B (backbone-swapped),0.163028
hnRNPA2-FMRP,B (backbone-swapped),-0.0604
hnRNPA2-FMRP,B (backbone-swapped),-0.099528
hnRNPA2-FMRP,B (backbone-swapped),-0.184777
hnRNPA2-FMRP,B (backbone-swapped),0.181259
hnRNPA2-FMRP,B (backbone-swapped),-0.075827
hnRNPA2-FMRP,B (backbone-swapped),0.132564
hnRNPA2-FMRP,B (backbone-swapped),-0.073865
hnRNPA2-FMRP,B (backbone-swapped),-0.131432
hnRNPA2-FMRP,B (backbone-swapped),-0.091731
hnRNPA2-FMRP,B (backbone-swapped),-0.01354
hnRNPA2-FMRP,B (backbone-swapped),0.106694
hnRNPA2-FMRP,B (backbone-swapped),-0.11057
hnRNPA2-FMRP,B (backbone-swapped),-0.091679
hnRNPA2-FMRP,B (backbone-swapped),-0.124404
hnRNPA2-FMRP,B (backbone-swapped),0.017153
hnRNPA2-FMRP,B (backbone-swapped),-0.216376
hnRNPA2-FMRP,B (backbone-swapped),0.192762
hnRNPA2-FMRP,B (backbone-swapped),-0.01774
hnRNPA2-FMRP,B (backbone-swapped),0.0879
hnRNPA2-FMRP,B (backbone-swapped),-0.073622
hnRNPA2-FMRP,B (backbone-swapped),0.023859
hnRNPA2-FMRP,B (backbone-swapped),-0.076626
hnRNPA2-FMRP,B (backbone-swapped),-0.07344
hnRNPA2-FMRP,B (backbone-swapped),-0.099815
hnRNPA2-FMRP,B (backbone-swapped),0.04581
hnRNPA2-FMRP,B (backbone-swapped),-0.185973
hnRNPA2-FMRP,B (backbone-swapped),-0.115108
hnRNPA2-FMRP,B (backbone-swapped),0.111185
hnRNPA2-FMRP,B (backbone-swapped),0.202073
hnRNPA2-FMRP,B (backbone-swapped),-0.060541
hnRNPA2-FMRP,B (backbone-swapped),0.062623
hnRNPA2-FMRP,B (backbone-swapped),0.072251
hnRNPA2-FMRP,B (backbone-swapped),0.051368
hnRNPA2-FMRP,B (backbone-swapped),-0.002349
hnRNPA2-FMRP,B (backbone-swapped),0.003112
hnRNPA2-FMRP,B (backbone-swapped),-0.006177
hnRNPA2-FMRP,B (backbone-swapped),0.014589
hnRNPA2-FMRP,B (backbone-swapped),0.050186
FMRP-hnRNPA3,A (original),0.312514
FMRP-hnRNPA3,A (original),0.226028
FMRP-hnRNPA3,A (original),-0.107353
FMRP-hnRNPA3,A (original),-0.027866
FMRP-hnRNPA3,A (original),0.008713
FMRP-hnRNPA3,A (original),-0.116647
FMRP-hnRNPA3,A (original),0.084875
FMRP-hnRNPA3,A (original),-0.096214
FMRP-hnRNPA3,A (original),0.170317
FMRP-hnRNPA3,A (original),0.350413
FMRP-hnRNPA3,A (original),0.166613
FMRP-hnRNPA3,B (backbone-swapped),-0.005778
FMRP-hnRNPA3,B (backbone-swapped),0.318807
FMRP-hnRNPA3,B (backbone-swapped),-0.125514
FMRP-hnRNPA3,B (backbone-swapped),-0.256332
FMRP-hnRNPA3,B (backbone-swapped),-0.018079
FMRP-hnRNPA3,B (backbone-swapped),0.224797
FMRP-hnRNPA3,B (backbone-swapped),0.418739
FMRP-hnRNPA3,B (backbone-swapped),-0.016334
FMRP-hnRNPA3,B (backbone-swapped),-0.067871
FMRP-hnRNPA3,B (backbone-swapped),0.305575
FMRP-hnRNPA3,B (backbone-swapped),-0.100397
FMRP-hnRNPA3,B (backbone-swapped),-0.252653
FMRP-hnRNPA3,B (backbone-swapped),-0.255124
FMRP-hnRNPA3,B (backbone-swapped),-0.020556
FMRP-hnRNPA3,B (backbone-swapped),-0.358194
FMRP-hnRNPA3,B (backbone-swapped),-0.109752
FMRP-hnRNPA3,B (backbone-swapped),-0.067243
FMRP-hnRNPA3,B (backbone-swapped),0.437466
FMRP-hnRNPA3,B (backbone-swapped),-0.014503
FMRP-NUP98,A (original),-0.03494
FMRP-NUP98,A (original),0.046517
FMRP-NUP98,A (original),-0.037968
FMRP-NUP98,A (original),0.040603
FMRP-NUP98,A (original),-0.022645
FMRP-NUP98,A (original),-0.032025
FMRP-NUP98,A (original),0.07079
FMRP-NUP98,A (original),0.034209
FMRP-NUP98,A (original),-0.079749
FMRP-NUP98,B (backbone-swapped),-0.052232
FMRP-NUP98,B (backbone-swapped),0.062379
FMRP-NUP98,B (backbone-swapped),0.003436
FMRP-NUP98,B (backbone-swapped),-0.089185
FMRP-NUP98,B (backbone-swapped),-0.017214
FMRP-NUP98,B (backbone-swapped),-0.038014
FMRP-NUP98,B (backbone-swapped),0.031257
FMRP-NUP98,B (backbone-swapped),0.174641
FMRP-NUP98,B (backbone-swapped),0.087684
FMRP-NUP98,B (backbone-swapped),0.138694
FMRP-NUP98,B (backbone-swapped),0.179835
FMRP-NUP98,B (backbone-swapped),-0.058561
FMRP-NUP98,B (backbone-swapped),0.157326
FMRP-NUP98,B (backbone-swapped),0.253673
FMRP-NUP98,B (backbone-swapped),0.264455
FMRP-NUP98,B (backbone-swapped),0.009916
FMRP-NUP98,B (backbone-swapped),0.150239
FMRP-NUP98,B (backbone-swapped),0.133911
FMRP-NUP98,B (backbone-swapped),0.01597
FMRP-NUP98,B (backbone-swapped),-0.043755
FMRP-NUP98,B (backbone-swapped),-0.019352
FMRP-NUP98,B (backbone-swapped),-0.047936
FMRP-NUP98,B (backbone-swapped),0.100359
FMRP-NUP98,B (backbone-swapped),0.143954
FMRP-NUP98,B (backbone-swapped),0.007496
FMRP-NUP98,B (backbone-swapped),-0.005901
FMRP-NUP98,B (backbone-swapped),-0.031925
FMRP-NUP98,B (backbone-swapped),0.095653
FMRP-TAF15(IDR1),A (original),0.037471
FMRP-TAF15(IDR1),A (original),-0.042451
FMRP-TAF15(IDR1),A (original),-0.038893
FMRP-TAF15(IDR1),A (original),0.103062
FMRP-TAF15(IDR1),A (original),0.08292
FMRP-TAF15(IDR1),A (original),0.011872
FMRP-TAF15(IDR1),A (original),0.269666
FMRP-TAF15(IDR1),A (original),0.316859
FMRP-TAF15(IDR1),B (backbone-swapped),-0.032154
FMRP-TAF15(IDR1),B (backbone-swapped),0.15231
FMRP-TAF15(IDR1),B (backbone-swapped),0.093074
FMRP-TAF15(IDR1),B (backbone-swapped),0.107084
FMRP-TAF15(IDR1),B (backbone-swapped),0.085952
FMRP-TAF15(IDR1),B (backbone-swapped),0.266914
FMRP-TAF15(IDR1),B (backbone-swapped),0.164696
FMRP-TAF15(IDR1),B (backbone-swapped),0.132239
FMRP-TAF15(IDR1),B (backbone-swapped),0.106395
FMRP-TAF15(IDR1),B (backbone-swapped),0.03634
FMRP-TAF15(IDR1),B (backbone-swapped),0.110572
FMRP-TAF15(IDR1),B (backbone-swapped),0.121493
FMRP-TAF15(IDR1),B (backbone-swapped),0.097022
FMRP-TAF15(IDR1),B (backbone-swapped),0.245451
FMRP-TAF15(IDR1),B (backbone-swapped),0.16472
FMRP-TAF15(IDR1),B (backbone-swapped),0.012465
FMRP-TAF15(IDR1),B (backbone-swapped),0.058078
FMRP-TAF15(IDR1),B (backbone-swapped),0.110789
FMRP-TAF15(IDR1),B (backbone-swapped),0.114731
FMRP-TAF15(IDR1),B (backbone-swapped),0.168645
FMRP-TAF15(IDR1),B (backbone-swapped),0.080075
FMRP-TAF15(IDR1),B (backbone-swapped),0.054161
FMRP-TAF15(IDR1),B (backbone-swapped),0.112639
FMRP-TAF15(IDR1),B (backbone-swapped),0.029182
FMRP-TAF15(IDR2),A (original),-0.058918
FMRP-TAF15(IDR2),A (original),0.012959
FMRP-TAF15(IDR2),A (original),0.03331
FMRP-TAF15(IDR2),A (original),0.054498
FMRP-TAF15(IDR2),A (original),0.159784
FMRP-TAF15(IDR2),A (original),0.1802
FMRP-TAF15(IDR2),A (original),0.095065
FMRP-TAF15(IDR2),B (backbone-swapped),0.321136
FMRP-TAF15(IDR2),B (backbone-swapped),0.146395
FMRP-TAF15(IDR2),B (backbone-swapped),0.128868
FMRP-TAF15(IDR2),B (backbone-swapped),0.080209
FMRP-TAF15(IDR2),B (backbone-swapped),0.159759
FMRP-TAF15(IDR2),B (backbone-swapped),0.029456
FMRP-TAF15(IDR2),B (backbone-swapped),0.106899
FMRP-TAF15(IDR2),B (backbone-swapped),0.077482
FMRP-TAF15(IDR2),B (backbone-swapped),0.080303
FMRP-TAF15(IDR2),B (backbone-swapped),0.025153
FMRP-TAF15(IDR2),B (backbone-swapped),-0.058767
FMRP-TAF15(IDR2),B (backbone-swapped),0.227086
FMRP-TAF15(IDR2),B (backbone-swapped),0.154057
FMRP-TAF15(IDR2),B (backbone-swapped),0.0892
FMRP-TIA1,A (original),0.105343
FMRP-TIA1,A (original),0.048651
FMRP-TIA1,A (original),0.048469
FMRP-TIA1,A (original),0.261259
FMRP-TIA1,A (original),0.184613
FMRP-TIA1,A (original),0.356033
FMRP-TIA1,A (original),0.350998
FMRP-TIA1,A (original),0.41275
FMRP-TIA1,A (original),0.477573
FMRP-TIA1,B (backbone-swapped),0.198755
FMRP-TIA1,B (backbone-swapped),0.465736
FMRP-TIA1,B (backbone-swapped),0.080843
FMRP-TIA1,B (backbone-swapped),-0.028009
FMRP-TIA1,B (backbone-swapped),0.052559
FMRP-TIA1,B (backbone-swapped),0.058367
FMRP-TIA1,B (backbone-swapped),-0.0058
FMRP-TIA1,B (backbone-swapped),0.232477
FMRP-TIA1,B (backbone-swapped),0.163455
FMRP-TIA1,B (backbone-swapped),0.043817
FMRP-TIA1,B (backbone-swapped),0.14204
FMRP-TIA1,B (backbone-swapped),0.106479
FMRP-TIA1,B (backbone-swapped),0.002271
FMRP-TIA1,B (backbone-swapped),0.160705
FMRP-TIA1,B (backbone-swapped),0.101333
FMRP-TIA1,B (backbone-swapped),0.003629
FMRP-TIA1,B (backbone-swapped),0.005839
FMRP-TIA1,B (backbone-swapped),0.092579
FMRP-TIA1,B (backbone-swapped),0.064105
FMRP-TIA1,B (backbone-swapped),0.041866
FMRP-TIA1,B (backbone-swapped),0.093357
FMRP-TIA1,B (backbone-swapped),0.030995
FMRP-TIA1,B (backbone-swapped),0.207237
FMRP-TIA1,B (backbone-swapped),0.130413
FMRP-TIA1,B (backbone-swapped),0.462901
FMRP-TIA1,B (backbone-swapped),0.097649
FMRP-TIA1,B (backbone-swapped),0.080611
FMRP-TIA1,B (backbone-swapped),0.149915
FMRP-TIA1,B (backbone-swapped),0.03243
FMRP-TIA1,B (backbone-swapped),0.173117
FMRP-TIA1,B (backbone-swapped),0.09436
FMRP-TIA1,B (backbone-swapped),-0.005832
FMRP-TIA1,B (backbone-swapped),0.052132
FMRP-TIA1,B (backbone-swapped),0.087477
FMRP-TIA1,B (backbone-swapped),-0.037327
FMRP-TIA1,B (backbone-swapped),0.147982
hnRNPA2-FUS,A (original),0.206174
hnRNPA2-FUS,A (original),0.243343
hnRNPA2-FUS,A (original),0.238781
hnRNPA2-FUS,A (original),0.261121
hnRNPA2-FUS,A (original),0.150863
hnRNPA2-FUS,A (original),0.12991
hnRNPA2-FUS,B (backbone-swapped),0.281876
hnRNPA2-FUS,B (backbone-swapped),0.047724
hnRNPA2-FUS,B (backbone-swapped),0.291378
hnRNPA2-FUS,B (backbone-swapped),0.309052
hnRNPA3-FUS,A (original),0.149686
hnRNPA3-FUS,A (original),0.122594
hnRNPA3-FUS,A (original),0.075892
hnRNPA3-FUS,A (original),0.252899
hnRNPA3-FUS,A (original),0.39859
hnRNPA3-FUS,B (backbone-swapped),0.351543
hnRNPA3-FUS,B (backbone-swapped),0.378195
hnRNPA3-FUS,B (backbone-swapped),0.063511
hnRNPA3-FUS,B (backbone-swapped),0.318285
hnRNPA3-FUS,B (backbone-swapped),0.282806
hnRNPA3-FUS,B (backbone-swapped),0.061172
hnRNPA3-FUS,B (backbone-swapped),-0.03024
hnRNPA3-FUS,B (backbone-swapped),0.018966
hnRNPA3-FUS,B (backbone-swapped),0.522867
hnRNPA3-FUS,B (backbone-swapped),0.22598
hnRNPA3-FUS,B (backbone-swapped),-0.126226
hnRNPA3-FUS,B (backbone-swapped),0.08297
NUP98-FUS,A (original),0.122822
NUP98-FUS,A (original),0.046182
NUP98-FUS,A (original),0.356797
NUP98-FUS,A (original),0.45712
NUP98-FUS,A (original),0.310903
NUP98-FUS,B (backbone-swapped),0.032324
NUP98-FUS,B (backbone-swapped),0.081347
NUP98-FUS,B (backbone-swapped),0.031506
NUP98-FUS,B (backbone-swapped),0.066608
NUP98-FUS,B (backbone-swapped),0.010065
NUP98-FUS,B (backbone-swapped),0.136775
NUP98-FUS,B (backbone-swapped),-0.000987
NUP98-FUS,B (backbone-swapped),0.165625
NUP98-FUS,B (backbone-swapped),0.113879
NUP98-FUS,B (backbone-swapped),0.381634
NUP98-FUS,B (backbone-swapped),0.078122
NUP98-FUS,B (backbone-swapped),0.359944
NUP98-FUS,B (backbone-swapped),0.071942
NUP98-FUS,B (backbone-swapped),0.11467
NUP98-FUS,B (backbone-swapped),0.078343
NUP98-FUS,B (backbone-swapped),0.131214
NUP98-FUS,B (backbone-swapped),0.369585
NUP98-FUS,B (backbone-swapped),0.038374
NUP98-FUS,B (backbone-swapped),0.035397
NUP98-FUS,B (backbone-swapped),0.142893
NUP98-FUS,B (backbone-swapped),0.024469
NUP98-FUS,B (backbone-swapped),0.132364
NUP98-FUS,B (backbone-swapped),-0.001319
NUP98-FUS,B (backbone-swapped),0.017437
NUP98-FUS,B (backbone-swapped),0.082938
NUP98-FUS,B (backbone-swapped),0.011904
NUP98-FUS,B (backbone-swapped),0.085487
NUP98-FUS,B (backbone-swapped),-0.024821
NUP98-FUS,B (backbone-swapped),0.011417
NUP98-FUS,B (backbone-swapped),-0.027423
NUP98-FUS,B (backbone-swapped),0.09228
NUP98-FUS,B (backbone-swapped),0.100434
TIA1-FUS,A (original),0.080474
TIA1-FUS,A (original),0.282314
TIA1-FUS,A (original),0.182415
TIA1-FUS,A (original),0.001858
TIA1-FUS,B (backbone-swapped),0.461355
TIA1-FUS,B (backbone-swapped),0.415993
TIA1-FUS,B (backbone-swapped),0.230406
TIA1-FUS,B (backbone-swapped),0.40383
TIA1-FUS,B (backbone-swapped),0.238289
TIA1-FUS,B (backbone-swapped),0.460152
TIA1-FUS,B (backbone-swapped),0.304621
TIA1-FUS,B (backbone-swapped),0.23223
TIA1-FUS,B (backbone-swapped),0.292152
TIA1-FUS,B (backbone-swapped),0.495957
TIA1-FUS,B (backbone-swapped),0.357999
TIA1-FUS,B (backbone-swapped),0.343025
TIA1-FUS,B (backbone-swapped),0.311964
TIA1-FUS,B (backbone-swapped),0.190588
TIA1-FUS,B (backbone-swapped),0.281877
TIA1-FUS,B (backbone-swapped),0.306042
TIA1-FUS,B (backbone-swapped),0.317556
hnRNPA2-NUP98,A (original),0.202429
hnRNPA2-NUP98,A (original),0.027296
hnRNPA2-NUP98,A (original),0.057084
hnRNPA2-NUP98,A (original),0.080403
hnRNPA2-NUP98,A (original),0.229093
hnRNPA2-NUP98,A (original),0.046232
hnRNPA2-NUP98,B (backbone-swapped),-0.012851
hnRNPA2-NUP98,B (backbone-swapped),-0.076966
hnRNPA2-NUP98,B (backbone-swapped),0.066568
hnRNPA2-NUP98,B (backbone-swapped),0.02421
hnRNPA2-NUP98,B (backbone-swapped),0.377794
hnRNPA2-NUP98,B (backbone-swapped),0.111205
hnRNPA2-NUP98,B (backbone-swapped),0.304814
