ID,Age_weeks,Date,Time_assayed,Time_assayed_fraction,Time_assayed_hours,Weight,GS1,GS2,GS3,GS4,GS5,Max_GS,Species,Sex,Diet,Eclosion_weight,FW_length,Longevity
HL33,9,2022-06-22,13:15:00,0.5521,13.25,0.202,2.55,2.16,2.34,1.32,1.78,2.55,Hecale,M,PF,0.232,43,78
DL22,1,2022-06-22,13:15:00,0.5521,13.25,0.136,0.7,1.08,1.11,1.5,0.65,1.5,Dryas,M,PF,0.177,40,41
HL35,9,2022-06-22,13:15:00,0.5521,13.25,0.142,1.49,2.27,1.31,1.06,1.35,2.27,Hecale,F,PD,0.164,40,76
DL24,1,2022-06-24,11:51:00,0.4938,11.85,0.176,0.449,1.434,1.035,0.789,1.401,1.434,Dryas,M,PF,0.2,43,48
DL23,1,2022-06-24,11:51:00,0.4938,11.85,0.176,0.952,0.664,0.944,0.565,1.211,1.211,Dryas,M,PD,0.185,40,32
HL13,11,2022-06-24,11:51:00,0.4938,11.85,0.2,1.255,0.638,0.591,0.771,0.737,1.255,Hecale,M,PF,0.286,40,81
HL5,11,2022-06-24,11:51:00,0.4938,11.85,0.176,0.695,0.951,1.181,1.732,0.7,1.732,Hecale,M,PF,0.211,40,83
HL12,11,2022-06-24,11:51:00,0.4938,11.85,0.12,1.044,0.62,0.644,0.794,0.827,1.044,Hecale,M,PF,0.134,37,76
HL8,11,2022-06-24,13:10:00,0.5486,13.17,0.191,2.194,1.16,1.439,2.583,2.775,2.775,Hecale,F,PF,0.179,40,77
HL7,11,2022-06-24,13:10:00,0.5486,13.17,0.211,1.53,1.342,1.087,2.974,0.427,2.974,Hecale,F,PF,0.182,40,119
HL1,15,2022-06-24,13:10:00,0.5486,13.17,0.145,0.51,0.896,1.332,0.349,1.169,1.332,Hecale,F,PF,0.142,37,119
HL55,7,2022-06-27,11:15:00,0.4688,11.25,0.137,0.691,0.416,0.444,0.441,0.246,0.691,Hecale,M,PD,0.168,40,59
HL15,11,2022-06-27,11:15:00,0.4688,11.25,0.272,1.445,0.809,0.601,0.763,1.713,1.713,Hecale,M,PF,0.27,47,86
HL62,3,2022-06-27,11:15:00,0.4688,11.25,0.197,2.053,0.403,1.395,1.343,1.421,2.053,Hecale,M,PD,0.225,43,65
HL63,3,2022-06-27,13:15:00,0.5521,13.25,0.188,1.216,0.741,2.138,0.889,0.706,2.138,Hecale,F,PD,0.236,45,63
DL25,1,2022-06-27,13:15:00,0.5521,13.25,0.245,0.757,0.407,0.632,0.827,0.697,0.827,Dryas,F,PF,0.244,43,18
DL14,3,2022-06-29,12:00:00,0.5,12.0,0.126,0.222,0.789,0.761,0.239,0.256,0.789,Dryas,M,PD,0.213,45,22
HL59,5,2022-06-29,12:00:00,0.5,12.0,0.189,0.878,0.473,0.424,0.698,0.673,0.878,Hecale,M,PD,0.279,44,41
DL15,3,2022-06-29,12:00:00,0.5,12.0,0.158,0.642,0.988,1.362,0.893,1.606,1.606,Dryas,F,PD,0.167,40,29
HL45,9,2022-06-29,12:30:00,0.5208,12.5,0.205,1.063,0.783,1.267,0.983,2.707,2.707,Hecale,F,PD,0.248,45,106
DL12,3,2022-06-29,12:30:00,0.5208,12.5,0.175,0.372,0.715,0.555,0.584,0.441,0.715,Dryas,F,PF,0.219,44,31
HL38,9,2022-06-29,12:30:00,0.5208,12.5,0.197,1.771,1.638,1.631,2.49,1.778,2.49,Hecale,F,PD,0.264,45,76
DL16,3,2022-06-29,12:30:00,0.5208,12.5,0.209,1.032,1.104,1.577,0.827,1.139,1.577,Dryas,F,PD,0.197,42,30
HL21,11,2022-07-01,12:40:00,0.5278,12.67,0.221,1.328,1.215,1.723,1.272,1.5,1.723,Hecale,M,PF,0.247,46,96
DL18,3,2022-07-01,12:40:00,0.5278,12.67,0.141,2.241,0.665,0.177,0.856,0.372,2.241,Dryas,M,PD,0.186,43,50
HL24,11,2022-07-01,12:40:00,0.5278,12.67,0.205,1.131,1.636,1.621,1.985,1.561,1.985,Hecale,F,PF,0.166,40,112
DL19,3,2022-07-01,12:40:00,0.5278,12.67,0.143,0.895,0.391,0.503,0.561,0.459,0.895,Dryas,M,PD,0.216,44,32
HL47,9,2022-07-01,12:40:00,0.5278,12.67,0.222,1.067,2.23,0.868,1.135,0.555,2.23,Hecale,F,PD,0.289,40,74
DL20,3,2022-07-01,12:40:00,0.5278,12.67,0.164,1.428,0.839,1.374,1.285,1.0,1.428,Dryas,F,PF,0.157,40,23
HL60,5,2022-07-04,13:20:00,0.5556,13.33,0.218,1.238,2.096,1.98,1.073,1.012,2.096,Hecale,F,PF,0.238,45,71
DL26,1,2022-07-04,13:20:00,0.5556,13.33,0.257,1.518,1.862,1.22,1.471,0.492,1.862,Dryas,M,PF,0.265,46,21
HL67,1,2022-07-06,12:30:00,0.5208,12.5,0.248,0.708,1.492,1.867,2.548,1.987,2.548,Hecale,M,PF,0.265,43,40
DL30,1,2022-07-06,12:30:00,0.5208,12.5,0.167,0.458,0.239,0.009,0.883,1.343,1.343,Dryas,M,PD,0.193,42,22
DL29,1,2022-07-06,12:30:00,0.5208,12.5,0.165,0.407,0.378,0.128,0.597,0.567,0.597,Dryas,M,PD,0.188,42,29
DL27,1,2022-07-06,12:30:00,0.5208,12.5,0.157,0.009,0.308,0.326,1.029,1.02,1.029,Dryas,M,PF,0.189,42,24
DL22,3,2022-07-06,12:30:00,0.5208,12.5,0.131,1.701,0.457,1.194,0.727,1.161,1.701,Dryas,M,PF,0.177,40,41
HL69,1,2022-07-06,12:30:00,0.5208,12.5,0.254,0.958,0.974,2.517,1.998,1.887,2.517,Hecale,F,PD,0.278,43,48
HL66,1,2022-07-06,12:30:00,0.5208,12.5,0.184,0.939,1.271,0.643,0.713,1.459,1.459,Hecale,F,PF,0.175,39,44
HL68,1,2022-07-06,12:30:00,0.5208,12.5,0.266,1.489,1.089,2.682,2.187,0.471,2.682,Hecale,F,PD,0.299,46,28
HL72,1,2022-07-08,12:20:00,0.5139,12.33,0.154,1.426,1.681,1.635,1.426,1.423,1.681,Hecale,M,PD,0.182,39,49
HL70,1,2022-07-08,12:20:00,0.5139,12.33,0.192,1.243,1.196,1.965,1.561,1.676,1.965,Hecale,M,PF,0.217,42,19
HL71,1,2022-07-08,12:20:00,0.5139,12.33,0.214,1.74,1.529,1.102,0.815,2.021,2.021,Hecale,M,PD,0.244,43,74
DL24,3,2022-07-08,12:20:00,0.5139,12.33,0.149,1.022,0.764,0.734,0.911,1.217,1.217,Dryas,M,PF,0.2,43,48
DL32,1,2022-07-08,12:20:00,0.5139,12.33,0.178,0.48,0.125,0.647,0.56,1.315,1.315,Dryas,M,PF,0.154,42,29
DL33,1,2022-07-08,12:20:00,0.5139,12.33,0.207,1.53,0.494,0.897,0.634,1.089,1.53,Dryas,M,PF,0.26,43,27
DL23,3,2022-07-08,12:20:00,0.5139,12.33,0.104,1.332,1.148,0.739,0.934,0.817,1.332,Dryas,M,PD,0.185,40,32
HL7,13,2022-07-08,12:20:00,0.5139,12.33,0.166,0.923,1.78,0.943,2.697,0.447,2.697,Hecale,F,PF,0.182,40,119
DL35,1,2022-07-08,12:20:00,0.5139,12.33,0.183,0.837,1.336,1.447,0.908,1.302,1.447,Dryas,F,PD,0.247,42,35
HL1,17,2022-07-08,12:20:00,0.5139,12.33,0.111,0.527,0.485,0.555,0.738,1.129,1.129,Hecale,F,PF,0.142,37,119
DL34,1,2022-07-08,12:20:00,0.5139,12.33,0.248,0.593,0.158,0.24,0.46,0.305,0.593,Dryas,F,PD,0.181,40,29
HL77,1,2022-07-11,13:30:00,0.5625,13.5,0.226,2.013,0.689,0.992,1.992,1.693,2.013,Hecale,M,PF,0.235,44,66
HL74,1,2022-07-11,13:30:00,0.5625,13.5,0.214,1.908,1.498,0.49,1.469,0.998,1.908,Hecale,F,PF,0.249,44,35
HL62,5,2022-07-11,13:30:00,0.5625,13.5,0.174,1.919,2.478,1.117,1.838,3.456,3.456,Hecale,M,PD,0.225,43,65
HL75,1,2022-07-11,13:30:00,0.5625,13.5,0.166,1.029,1.18,2.169,0.986,,2.169,Hecale,F,PD,0.176,41,40
HL63,5,2022-07-11,13:30:00,0.5625,13.5,0.167,0.426,1.593,1.043,0.68,0.119,1.593,Hecale,F,PD,0.236,45,63
HL45,11,2022-07-13,14:15:00,0.5938,14.25,0.183,1.645,2.023,0.803,1.191,0.957,2.023,Hecale,F,PD,0.248,45,106
HL21,13,2022-07-15,13:30:00,0.5625,13.5,0.2,1.573,1.183,0.704,2.022,1.254,2.022,Hecale,M,PF,0.247,46,96
HL24,13,2022-07-15,13:30:00,0.5625,13.5,0.186,1.406,0.522,0.324,0.239,0.689,1.406,Hecale,F,PF,0.166,40,112
DL38,1,2022-07-15,13:30:00,0.5625,13.5,0.092,0.145,0.153,0.66,0.402,0.103,0.66,Dryas,M,PD,0.133,38,9
DL37,1,2022-07-15,13:30:00,0.5625,13.5,0.175,0.93,0.355,0.272,0.258,1.174,1.174,Dryas,M,PD,0.205,41,22
DL18,5,2022-07-15,13:30:00,0.5625,13.5,0.118,0.104,0.481,1.232,0.442,0.763,1.232,Dryas,M,PD,0.186,43,50
DL40,1,2022-07-18,13:30:00,0.5625,13.5,0.174,0.424,0.136,0.463,0.644,0.47,0.644,Dryas,F,PD,0.164,40,22
DL42,1,2022-07-18,13:30:00,0.5625,13.5,0.147,0.609,0.782,1.26,0.132,0.597,1.26,Dryas,M,PF,0.16,40,35
HL60,7,2022-07-18,13:30:00,0.5625,13.5,0.199,0.682,1.032,1.267,1.377,1.486,1.486,Hecale,F,PF,0.238,45,71
DL41,1,2022-07-18,13:30:00,0.5625,13.5,0.12,1.106,0.548,0.899,0.596,0.605,1.106,Dryas,M,PF,0.184,37,28
DL43,1,2022-07-18,13:30:00,0.5625,13.5,0.228,0.704,1.138,1.51,1.307,1.603,1.603,Dryas,F,PF,0.206,42,29
HL68,3,2022-07-20,12:00:00,0.5,12.0,0.225,0.934,1.562,2.424,1.915,1.71,2.424,Hecale,F,PD,0.299,46,28
DL44,1,2022-07-20,12:00:00,0.5,12.0,0.095,0.202,0.631,0.439,0.479,0.455,0.631,Dryas,F,PD,0.085,31,29
HL67,3,2022-07-20,12:00:00,0.5,12.0,0.208,2.191,1.795,1.809,2.528,2.767,2.767,Hecale,M,PF,0.265,43,40
DL27,3,2022-07-20,12:00:00,0.5,12.0,0.133,0.48,1.395,0.556,1.781,0.353,1.781,Dryas,M,PF,0.189,42,24
DL22,5,2022-07-20,12:00:00,0.5,12.0,0.125,0.648,1.059,1.103,1.08,1.338,1.338,Dryas,M,PF,0.177,40,41
DL30,3,2022-07-20,12:00:00,0.5,12.0,0.141,0.482,1.259,1.216,1.47,1.828,1.828,Dryas,M,PD,0.193,42,22
DL29,3,2022-07-20,12:00:00,0.5,12.0,0.137,0.822,1.441,1.697,0.722,0.988,1.697,Dryas,M,PD,0.188,42,29
HL69,3,2022-07-20,12:00:00,0.5,12.0,0.23,2.826,2.601,2.668,3.669,2.386,3.669,Hecale,F,PD,0.278,43,48
HL7,15,2022-07-22,14:18:00,0.5958,14.3,0.171,0.985,2.415,0.972,1.014,1.26,2.415,Hecale,F,PF,0.182,40,119
DL35,3,2022-07-22,14:18:00,0.5958,14.3,0.228,1.365,1.536,1.358,1.369,1.428,1.536,Dryas,F,PD,0.247,42,35
HL79,1,2022-07-22,14:18:00,0.5958,14.3,0.246,0.676,0.843,0.525,0.804,1.041,1.041,Hecale,F,PF,0.224,44,115
DL34,3,2022-07-22,14:18:00,0.5958,14.3,0.16,0.74,0.702,1.5,1.477,0.965,1.5,Dryas,F,PD,0.181,40,29
HL81,1,2022-07-22,14:18:00,0.5958,14.3,0.209,1.708,0.362,1.137,1.708,1.312,1.708,Hecale,F,PD,0.208,42,75
DL24,5,2022-07-22,14:18:00,0.5958,14.3,0.13,0.489,0.789,0.212,0.146,0.385,0.789,Dryas,M,PF,0.2,43,48
DL32,3,2022-07-22,14:18:00,0.5958,14.3,0.121,1.592,1.294,1.046,0.717,1.129,1.592,Dryas,M,PF,0.154,42,29
HL80,1,2022-07-22,14:18:00,0.5958,14.3,0.172,1.512,1.409,1.383,1.242,0.826,1.512,Hecale,M,PD,0.197,43,40
DL33,3,2022-07-22,14:18:00,0.5958,14.3,0.164,0.615,1.208,0.872,0.211,1.188,1.208,Dryas,M,PF,0.26,43,27
HL72,3,2022-07-22,14:18:00,0.5958,14.3,0.137,0.812,1.592,1.321,0.622,1.176,1.592,Hecale,M,PD,0.182,39,49
HL71,3,2022-07-22,14:18:00,0.5958,14.3,0.208,1.55,1.146,1.295,1.899,1.714,1.899,Hecale,M,PD,0.244,43,74
HL77,3,2022-07-25,13:30:00,0.5625,13.5,0.215,1.518,1.249,2.076,1.35,2.329,2.329,Hecale,M,PF,0.235,44,66
HL62,7,2022-07-25,13:30:00,0.5625,13.5,0.155,0.71,1.316,1.397,0.926,0.627,1.397,Hecale,M,PD,0.225,43,65
HL74,3,2022-07-25,13:30:00,0.5625,13.5,0.241,2.018,1.205,0.785,0.711,0.269,2.018,Hecale,F,PF,0.249,44,35
HL75,3,2022-07-25,13:30:00,0.5625,13.5,0.157,1.466,1.512,1.303,1.125,1.499,1.512,Hecale,F,PD,0.176,41,40
HL63,7,2022-07-25,13:30:00,0.5625,13.5,0.149,0.499,1.113,1.045,1.13,1.439,1.439,Hecale,F,PD,0.236,45,63
HL45,13,2022-07-27,12:20:00,0.5139,12.33,0.168,2.289,0.973,0.925,1.45,0.408,2.289,Hecale,F,PD,0.248,45,106
HL24,15,2022-07-29,14:30:00,0.6042,14.5,0.136,0.339,0.449,0.52,0.332,0.481,0.52,Hecale,F,PF,0.166,40,112
DL37,3,2022-07-29,14:30:00,0.6042,14.5,0.147,0.988,0.603,0.664,0.582,0.554,0.988,Dryas,M,PD,0.205,41,22
DL42,3,2022-08-01,11:42:00,0.4875,11.7,0.15,0.991,0.229,0.28,0.229,0.125,0.991,Dryas,M,PF,0.16,40,35
DL41,3,2022-08-01,11:42:00,0.4875,11.7,0.114,0.628,0.343,0.779,0.337,0.51,0.779,Dryas,M,PF,0.184,37,28
HL60,9,2022-08-01,12:48:00,0.5333,12.8,0.21,1.132,0.801,0.421,1.008,2.132,2.132,Hecale,F,PF,0.238,45,71
DL43,3,2022-08-01,12:48:00,0.5333,12.8,0.191,0.421,0.508,1.211,1.221,0.858,1.221,Dryas,F,PF,0.206,42,29
DL40,3,2022-08-01,12:48:00,0.5333,12.8,0.145,0.506,0.434,0.728,1.134,0.509,1.134,Dryas,F,PD,0.164,40,22
HL66,5,2022-08-03,12:10:00,0.5069,12.17,0.169,1.789,1.145,0.904,1.273,1.855,1.855,Hecale,F,PF,0.175,39,44
HL69,5,2022-08-03,12:10:00,0.5069,12.17,0.235,1.023,1.696,1.881,1.285,1.761,1.881,Hecale,F,PD,0.278,43,48
HL67,5,2022-08-03,12:10:00,0.5069,12.17,0.205,3.055,2.033,2.411,2.471,2.596,3.055,Hecale,M,PF,0.265,43,40
DL44,3,2022-08-03,12:10:00,0.5069,12.17,0.076,0.575,0.39,0.029,0.633,0.709,0.709,Dryas,F,PD,0.085,31,29
HL80,3,2022-08-05,12:45:00,0.5313,12.75,0.152,1.962,1.789,1.705,1.249,0.871,1.962,Hecale,M,PD,0.197,43,40
HL71,5,2022-08-05,12:45:00,0.5313,12.75,0.207,1.745,1.843,1.096,0.903,1.767,1.843,Hecale,M,PD,0.244,43,74
HL72,5,2022-08-05,12:45:00,0.5313,12.75,0.127,0.539,0.698,0.639,0.847,1.274,1.274,Hecale,M,PD,0.182,39,49
HL81,3,2022-08-05,12:45:00,0.5313,12.75,0.212,2.183,0.594,0.989,1.29,0.633,2.183,Hecale,F,PD,0.208,42,75
HL79,3,2022-08-05,12:45:00,0.5313,12.75,0.244,2.48,1.138,0.822,2.754,2.358,2.754,Hecale,F,PF,0.224,44,115
HL77,5,2022-08-08,13:00:00,0.5417,13.0,0.199,2.66,1.444,1.32,1.877,1.461,2.66,Hecale,M,PF,0.235,44,66
HL75,5,2022-08-08,13:00:00,0.5417,13.0,0.129,0.541,0.79,0.192,0.608,0.875,0.875,Hecale,F,PD,0.176,41,40
HL62,9,2022-08-08,13:00:00,0.5417,13.0,0.176,0.754,0.268,0.571,0.208,,0.754,Hecale,M,PD,0.225,43,65
HL82,1,2022-08-12,15:00:00,0.625,15.0,0.193,0.086,0.386,1.625,1.259,1.05,1.625,Hecale,F,PF,0.221,43,52
HL83,1,2022-08-12,15:00:00,0.625,15.0,0.182,0.208,1.43,0.744,1.396,1.56,1.56,Hecale,M,PF,0.22,43,56
HL84,1,2022-08-12,15:00:00,0.625,15.0,0.116,0.571,0.597,0.626,0.514,0.182,0.626,Hecale,F,PD,0.126,36,43
DL42,5,2022-08-15,13:00:00,0.5417,13.0,0.119,0.308,0.093,0.212,0.321,0.249,0.321,Dryas,M,PF,0.16,40,35
HL89,1,2022-08-15,13:00:00,0.5417,13.0,0.149,0.233,0.336,0.134,0.182,0.139,0.336,Hecale,M,PF,0.161,35,37
HL86,1,2022-08-15,13:00:00,0.5417,13.0,0.247,1.096,1.117,1.349,0.85,1.223,1.349,Hecale,M,PF,0.228,45,83
HL85,1,2022-08-15,13:00:00,0.5417,13.0,0.179,1.026,1.219,0.404,0.899,1.012,1.219,Hecale,F,PF,0.168,40,47
HL90,1,2022-08-15,13:00:00,0.5417,13.0,0.107,0.578,0.39,0.608,0.281,0.146,0.608,Hecale,M,PD,0.136,39,15
HL88,1,2022-08-15,13:00:00,0.5417,13.0,0.138,0.5,0.766,0.397,0.425,0.681,0.766,Hecale,F,PF,0.129,35,53
HL87,1,2022-08-15,13:00:00,0.5417,13.0,0.131,0.124,0.232,0.183,0.336,0.134,0.336,Hecale,M,PF,0.13,36,64
HL92,1,2022-08-17,12:00:00,0.5,12.0,0.181,0.748,1.365,1.066,0.434,0.761,1.365,Hecale,M,PD,0.231,45,38
HL91,1,2022-08-17,12:00:00,0.5,12.0,0.22,0.709,0.734,1.167,1.058,0.612,1.167,Hecale,M,PD,0.227,45,69
HL93,1,2022-08-17,12:00:00,0.5,12.0,0.207,0.489,0.545,1.529,0.504,1.004,1.529,Hecale,F,PD,0.215,42,59
HL80,5,2022-08-19,15:00:00,0.625,15.0,0.116,1.411,1.218,1.1,0.961,0.741,1.411,Hecale,M,PD,0.197,43,40
HL71,7,2022-08-19,15:00:00,0.625,15.0,0.172,1.593,1.549,1.348,2.402,1.582,2.402,Hecale,M,PD,0.244,43,74
HL79,5,2022-08-19,15:00:00,0.625,15.0,0.21,0.266,1.648,1.536,1.296,0.497,1.648,Hecale,F,PF,0.224,44,115
HL81,5,2022-08-19,15:00:00,0.625,15.0,0.185,1.519,0.734,0.908,1.049,0.624,1.519,Hecale,F,PD,0.208,42,75
HL77,7,2022-08-22,11:30:00,0.4792,11.5,0.247,1.959,2.226,2.241,1.82,0.796,2.241,Hecale,M,PF,0.235,44,66
HL82,3,2022-08-26,13:00:00,0.5417,13.0,0.209,0.548,1.457,1.496,1.001,0.324,1.496,Hecale,F,PF,0.221,43,52
HL83,3,2022-08-26,13:00:00,0.5417,13.0,0.177,1.937,0.982,0.831,0.939,0.768,1.937,Hecale,M,PF,0.22,43,56
HL84,3,2022-08-26,13:00:00,0.5417,13.0,0.111,0.928,0.57,0.464,0.806,0.544,0.928,Hecale,F,PD,0.126,36,43
HL86,3,2022-08-29,14:00:00,0.5833,14.0,0.241,1.328,0.422,1.469,1.535,2.134,2.134,Hecale,M,PF,0.228,45,83
HL89,3,2022-08-29,14:00:00,0.5833,14.0,0.126,0.827,1.235,0.836,0.547,1.498,1.498,Hecale,M,PF,0.161,35,37
HL87,3,2022-08-29,14:00:00,0.5833,14.0,0.139,0.656,0.762,0.761,0.21,0.18,0.762,Hecale,M,PF,0.13,36,64
HL85,3,2022-08-29,14:00:00,0.5833,14.0,0.17,1.917,2.074,1.348,1.238,1.008,2.074,Hecale,F,PF,0.168,40,47
HL88,3,2022-08-29,14:00:00,0.5833,14.0,0.169,0.424,0.465,0.535,0.49,0.645,0.645,Hecale,F,PF,0.129,35,53
HL91,3,2022-08-31,10:45:00,0.4479,10.75,0.192,0.586,0.597,1.619,0.76,1.93,1.93,Hecale,M,PD,0.227,45,69
HL92,3,2022-08-31,10:45:00,0.4479,10.75,0.169,1.619,0.523,0.704,0.368,1.621,1.621,Hecale,M,PD,0.231,45,38
HL93,3,2022-08-31,10:45:00,0.4479,10.75,0.243,0.4,1.077,1.308,0.496,0.926,1.308,Hecale,F,PD,0.215,42,59
HL81,7,2022-09-02,12:30:00,0.5208,12.5,0.177,0.803,1.02,2.158,2.218,1.216,2.218,Hecale,F,PD,0.208,42,75
HL79,7,2022-09-02,12:30:00,0.5208,12.5,0.253,1.03,2.772,1.509,1.428,1.236,2.772,Hecale,F,PF,0.224,44,115
HL71,9,2022-09-02,12:30:00,0.5208,12.5,0.189,1.866,0.343,0.609,0.689,0.893,1.866,Hecale,M,PD,0.244,43,74
HL77,9,2022-09-05,11:30:00,0.4792,11.5,0.245,1.358,1.694,0.823,2.248,1.124,2.248,Hecale,M,PF,0.235,44,66
DL45,1,2022-09-07,14:20:00,0.5972,14.33,0.111,0.518,0.4,0.345,0.269,0.201,0.518,Dryas,M,PF,0.143,39,22
DL46,1,2022-09-07,14:20:00,0.5972,14.33,0.162,0.34,0.66,0.317,1.0,0.841,1.0,Dryas,M,PF,0.169,40,22
DL47,1,2022-09-07,14:20:00,0.5972,14.33,0.126,0.496,0.41,0.62,0.623,1.206,1.206,Dryas,F,PF,0.115,34,8
DL48,1,2022-09-07,14:20:00,0.5972,14.33,0.112,0.956,1.711,0.723,0.481,1.295,1.711,Dryas,M,PF,0.123,38,21
DL49,1,2022-09-07,14:20:00,0.5972,14.33,0.263,0.692,0.432,1.027,0.499,0.842,1.027,Dryas,F,PF,0.246,44,22
DL50,1,2022-09-07,14:20:00,0.5972,14.33,0.253,1.675,0.636,1.031,1.523,1.045,1.675,Dryas,M,PD,0.287,47,38
DL51,1,2022-09-07,14:20:00,0.5972,14.33,0.119,0.47,0.554,0.323,1.414,0.608,1.414,Dryas,M,PD,0.14,38,22
DL52,1,2022-09-07,14:20:00,0.5972,14.33,0.11,0.585,1.363,0.809,1.02,1.379,1.379,Dryas,M,PD,0.118,37,22
HL84,5,2022-09-09,14:46:00,0.6153,14.77,0.104,0.912,0.635,0.737,0.623,0.904,0.912,Hecale,F,PD,0.126,36,43
DL54,1,2022-09-09,14:46:00,0.6153,14.77,0.185,0.416,0.293,0.288,0.764,0.288,0.764,Dryas,F,PF,0.186,40,22
DL55,1,2022-09-09,14:46:00,0.6153,14.77,0.066,0.193,0.207,0.213,0.356,0.423,0.423,Dryas,M,PD,0.089,35,17
HL83,5,2022-09-09,14:46:00,0.6153,14.77,0.167,1.828,1.779,1.461,3.069,1.241,3.069,Hecale,M,PF,0.22,43,56
HL82,5,2022-09-09,14:46:00,0.6153,14.77,0.21,0.875,0.959,0.797,1.311,0.657,1.311,Hecale,F,PF,0.221,43,52
DL56,1,2022-09-12,14:30:00,0.6042,14.5,0.132,0.184,0.699,0.694,0.558,0.217,0.699,Dryas,M,PD,0.156,40,24
DL57,1,2022-09-12,14:30:00,0.6042,14.5,0.106,0.318,0.142,0.135,0.5,0.144,0.5,Dryas,F,PD,0.102,33,24
HL86,5,2022-09-12,14:30:00,0.6042,14.5,0.216,1.323,1.302,1.043,0.787,1.831,1.831,Hecale,M,PF,0.228,45,83
HL87,5,2022-09-12,14:30:00,0.6042,14.5,0.131,0.662,0.503,0.262,0.835,0.327,0.835,Hecale,M,PF,0.13,36,64
HL85,5,2022-09-12,14:30:00,0.6042,14.5,0.159,1.347,0.457,1.321,0.594,0.423,1.347,Hecale,F,PF,0.168,40,47
HL89,5,2022-09-12,14:30:00,0.6042,14.5,0.096,0.342,0.497,0.197,1.259,0.574,1.259,Hecale,M,PF,0.161,35,37
HL92,5,2022-09-14,12:00:00,0.5,12.0,0.142,1.051,1.077,0.563,0.62,0.617,1.077,Hecale,M,PD,0.231,45,38
DL58,1,2022-09-14,12:00:00,0.5,12.0,0.145,0.472,0.303,0.288,0.457,0.571,0.571,Dryas,M,PF,0.177,41,27
HL93,5,2022-09-14,12:00:00,0.5,12.0,0.225,0.663,0.785,0.918,1.809,0.263,1.809,Hecale,F,PD,0.215,42,59
HL91,5,2022-09-14,12:00:00,0.5,12.0,0.171,0.787,0.838,0.829,1.051,0.867,1.051,Hecale,M,PD,0.227,45,69
HL81,9,2022-09-16,13:24:00,0.5583,13.4,0.168,0.842,1.19,1.986,1.64,1.957,1.986,Hecale,F,PD,0.208,42,75
HL79,9,2022-09-16,13:24:00,0.5583,13.4,0.237,0.865,1.57,2.707,2.407,1.443,2.707,Hecale,F,PF,0.224,44,115
DL60,1,2022-09-19,13:00:00,0.5417,13.0,0.172,1.693,0.628,1.558,0.343,0.294,1.693,Dryas,M,PF,0.202,43,27
DL61,1,2022-09-19,13:00:00,0.5417,13.0,0.168,0.457,1.837,1.422,1.782,0.941,1.837,Dryas,M,PD,0.19,41,42
DL49,3,2022-09-21,16:00:00,0.6667,16.0,0.183,0.714,0.464,0.604,0.801,1.064,1.064,Dryas,F,PF,0.246,44,22
DL50,3,2022-09-21,16:00:00,0.6667,16.0,0.201,0.332,2.304,1.528,0.808,1.377,2.304,Dryas,M,PD,0.287,47,38
DL46,3,2022-09-21,16:00:00,0.6667,16.0,0.113,0.597,0.709,0.718,0.298,0.565,0.718,Dryas,M,PF,0.169,40,22
DL51,3,2022-09-21,16:00:00,0.6667,16.0,0.094,1.272,0.869,0.145,0.64,0.551,1.272,Dryas,M,PD,0.14,38,22
DL52,3,2022-09-21,16:00:00,0.6667,16.0,0.086,0.141,0.701,0.555,0.529,0.441,0.701,Dryas,M,PD,0.118,37,22
DL63,1,2022-09-21,16:00:00,0.6667,16.0,0.096,0.953,0.469,0.257,0.559,0.523,0.953,Dryas,F,PD,0.139,37,27
DL68,1,2022-09-23,15:20:00,0.6389,15.33,0.184,1.032,0.736,1.106,0.579,0.94,1.106,Dryas,M,PF,0.186,42,21
DL65,1,2022-09-23,15:20:00,0.6389,15.33,0.155,0.703,0.945,0.506,0.328,0.542,0.945,Dryas,F,PD,0.132,37,22
DL70,1,2022-09-23,15:20:00,0.6389,15.33,0.154,0.385,0.442,0.885,0.541,0.434,0.885,Dryas,F,PF,0.151,37,16
DL67,1,2022-09-23,15:20:00,0.6389,15.33,0.175,0.58,0.651,0.43,0.73,0.85,0.85,Dryas,M,PD,0.2,42,7
DL69,1,2022-09-23,15:20:00,0.6389,15.33,0.14,0.559,0.906,0.981,0.307,0.41,0.981,Dryas,M,PF,0.16,39,21
DL64,1,2022-09-23,15:20:00,0.6389,15.33,0.141,0.64,0.442,0.585,0.722,0.858,0.858,Dryas,M,PF,0.159,40,20
DL66,1,2022-09-23,15:20:00,0.6389,15.33,0.144,0.818,0.534,0.823,0.76,0.777,0.823,Dryas,M,PD,0.164,46,21
HL83,7,2022-09-23,15:20:00,0.6389,15.33,0.187,1.79,0.986,1.251,1.636,2.047,2.047,Hecale,M,PF,0.22,43,56
HL82,7,2022-09-23,15:20:00,0.6389,15.33,0.233,1.425,2.306,1.632,1.076,0.993,2.306,Hecale,F,PF,0.221,43,52
HL96,1,2022-09-26,12:17:00,0.5118,12.28,0.144,0.107,0.738,0.67,0.641,0.466,0.738,Hecale,M,PF,0.156,38,48
HL97,1,2022-09-26,12:17:00,0.5118,12.28,0.13,0.708,0.643,0.723,1.01,0.897,1.01,Hecale,M,PF,0.146,39,51
DL72,1,2022-09-26,12:17:00,0.5118,12.28,0.144,0.574,1.03,1.153,1.501,1.457,1.501,Dryas,M,PF,0.172,40,41
