ID,Age_weeks,Date,Time_weighed,Time_weighed_fraction,Time_weighed_hours,Weight,Species,Sex,Diet,Eclosion_weight,FW_length,Longevity
HL63,7.0,2022-07-25,13:30:00,0.5625,13.5,0.149,Hecale,F,PD,0.236,45,63
HL45,13.0,2022-07-27,12:20:00,0.5139,12.33,0.168,Hecale,F,PD,0.248,45,106
HL24,15.0,2022-07-29,14:30:00,0.6042,14.5,0.136,Hecale,F,PF,0.166,40,112
DL37,3.0,2022-07-29,14:30:00,0.6042,14.5,0.147,Dryas,M,PD,0.205,41,22
DL42,3.0,2022-08-01,11:42:00,0.4875,11.7,0.15,Dryas,M,PF,0.16,40,35
DL41,3.0,2022-08-01,11:42:00,0.4875,11.7,0.114,Dryas,M,PF,0.184,37,28
HL60,9.0,2022-08-01,12:48:00,0.5333,12.8,0.21,Hecale,F,PF,0.238,45,71
DL43,3.0,2022-08-01,12:48:00,0.5333,12.8,0.191,Dryas,F,PF,0.206,42,29
DL40,3.0,2022-08-01,12:48:00,0.5333,12.8,0.145,Dryas,F,PD,0.164,40,22
HL66,5.0,2022-08-03,12:10:00,0.5069,12.17,0.169,Hecale,F,PF,0.175,39,44
HL69,5.0,2022-08-03,12:10:00,0.5069,12.17,0.235,Hecale,F,PD,0.278,43,48
HL67,5.0,2022-08-03,12:10:00,0.5069,12.17,0.205,Hecale,M,PF,0.265,43,40
DL44,3.0,2022-08-03,12:10:00,0.5069,12.17,0.076,Dryas,F,PD,0.085,31,29
HL80,3.0,2022-08-05,12:45:00,0.5313,12.75,0.152,Hecale,M,PD,0.197,43,40
HL71,5.0,2022-08-05,12:45:00,0.5313,12.75,0.207,Hecale,M,PD,0.244,43,74
HL72,5.0,2022-08-05,12:45:00,0.5313,12.75,0.127,Hecale,M,PD,0.182,39,49
HL81,3.0,2022-08-05,12:45:00,0.5313,12.75,0.212,Hecale,F,PD,0.208,42,75
HL79,3.0,2022-08-05,12:45:00,0.5313,12.75,0.244,Hecale,F,PF,0.224,44,115
HL77,5.0,2022-08-08,13:00:00,0.5417,13.0,0.199,Hecale,M,PF,0.235,44,66
HL75,5.0,2022-08-08,13:00:00,0.5417,13.0,0.129,Hecale,F,PD,0.176,41,40
HL62,9.0,2022-08-08,13:00:00,0.5417,13.0,0.176,Hecale,M,PD,0.225,43,65
HL82,1.0,2022-08-12,15:00:00,0.625,15.0,0.193,Hecale,F,PF,0.221,43,52
HL83,1.0,2022-08-12,15:00:00,0.625,15.0,0.182,Hecale,M,PF,0.22,43,56
HL84,1.0,2022-08-12,15:00:00,0.625,15.0,0.116,Hecale,F,PD,0.126,36,43
DL42,5.0,2022-08-15,13:00:00,0.5417,13.0,0.119,Dryas,M,PF,0.16,40,35
HL89,1.0,2022-08-15,13:00:00,0.5417,13.0,0.149,Hecale,M,PF,0.161,35,37
HL86,1.0,2022-08-15,13:00:00,0.5417,13.0,0.247,Hecale,M,PF,0.228,45,83
HL85,1.0,2022-08-15,13:00:00,0.5417,13.0,0.179,Hecale,F,PF,0.168,40,47
HL90,1.0,2022-08-15,13:00:00,0.5417,13.0,0.107,Hecale,M,PD,0.136,39,15
HL88,1.0,2022-08-15,13:00:00,0.5417,13.0,0.138,Hecale,F,PF,0.129,35,53
HL87,1.0,2022-08-15,13:00:00,0.5417,13.0,0.131,Hecale,M,PF,0.13,36,64
HL92,1.0,2022-08-17,12:00:00,0.5,12.0,0.181,Hecale,M,PD,0.231,45,38
HL91,1.0,2022-08-17,12:00:00,0.5,12.0,0.22,Hecale,M,PD,0.227,45,69
HL93,1.0,2022-08-17,12:00:00,0.5,12.0,0.207,Hecale,F,PD,0.215,42,59
HL80,5.0,2022-08-19,15:00:00,0.625,15.0,0.116,Hecale,M,PD,0.197,43,40
HL71,7.0,2022-08-19,15:00:00,0.625,15.0,0.172,Hecale,M,PD,0.244,43,74
HL79,5.0,2022-08-19,15:00:00,0.625,15.0,0.21,Hecale,F,PF,0.224,44,115
HL81,5.0,2022-08-19,15:00:00,0.625,15.0,0.185,Hecale,F,PD,0.208,42,75
HL77,7.0,2022-08-22,11:30:00,0.4792,11.5,0.247,Hecale,M,PF,0.235,44,66
HL82,3.0,2022-08-26,13:00:00,0.5417,13.0,0.209,Hecale,F,PF,0.221,43,52
HL83,3.0,2022-08-26,13:00:00,0.5417,13.0,0.177,Hecale,M,PF,0.22,43,56
HL84,3.0,2022-08-26,13:00:00,0.5417,13.0,0.111,Hecale,F,PD,0.126,36,43
HL86,3.0,2022-08-29,14:00:00,0.5833,14.0,0.241,Hecale,M,PF,0.228,45,83
HL89,3.0,2022-08-29,14:00:00,0.5833,14.0,0.126,Hecale,M,PF,0.161,35,37
HL87,3.0,2022-08-29,14:00:00,0.5833,14.0,0.139,Hecale,M,PF,0.13,36,64
HL85,3.0,2022-08-29,14:00:00,0.5833,14.0,0.17,Hecale,F,PF,0.168,40,47
HL88,3.0,2022-08-29,14:00:00,0.5833,14.0,0.169,Hecale,F,PF,0.129,35,53
HL91,3.0,2022-08-31,10:45:00,0.4479,10.75,0.192,Hecale,M,PD,0.227,45,69
HL92,3.0,2022-08-31,10:45:00,0.4479,10.75,0.169,Hecale,M,PD,0.231,45,38
HL93,3.0,2022-08-31,10:45:00,0.4479,10.75,0.243,Hecale,F,PD,0.215,42,59
HL81,7.0,2022-09-02,12:30:00,0.5208,12.5,0.177,Hecale,F,PD,0.208,42,75
HL79,7.0,2022-09-02,12:30:00,0.5208,12.5,0.253,Hecale,F,PF,0.224,44,115
HL71,9.0,2022-09-02,12:30:00,0.5208,12.5,0.189,Hecale,M,PD,0.244,43,74
HL77,9.0,2022-09-05,11:30:00,0.4792,11.5,0.245,Hecale,M,PF,0.235,44,66
DL45,1.0,2022-09-07,14:20:00,0.5972,14.33,0.111,Dryas,M,PF,0.143,39,22
DL46,1.0,2022-09-07,14:20:00,0.5972,14.33,0.162,Dryas,M,PF,0.169,40,22
DL47,1.0,2022-09-07,14:20:00,0.5972,14.33,0.126,Dryas,F,PF,0.115,34,8
DL48,1.0,2022-09-07,14:20:00,0.5972,14.33,0.112,Dryas,M,PF,0.123,38,21
DL49,1.0,2022-09-07,14:20:00,0.5972,14.33,0.263,Dryas,F,PF,0.246,44,22
DL50,1.0,2022-09-07,14:20:00,0.5972,14.33,0.253,Dryas,M,PD,0.287,47,38
DL51,1.0,2022-09-07,14:20:00,0.5972,14.33,0.119,Dryas,M,PD,0.14,38,22
DL52,1.0,2022-09-07,14:20:00,0.5972,14.33,0.11,Dryas,M,PD,0.118,37,22
HL84,5.0,2022-09-09,14:46:00,0.6153,14.77,0.104,Hecale,F,PD,0.126,36,43
DL54,1.0,2022-09-09,14:46:00,0.6153,14.77,0.185,Dryas,F,PF,0.186,40,22
DL55,1.0,2022-09-09,14:46:00,0.6153,14.77,0.066,Dryas,M,PD,0.089,35,17
HL83,5.0,2022-09-09,14:46:00,0.6153,14.77,0.167,Hecale,M,PF,0.22,43,56
HL82,5.0,2022-09-09,14:46:00,0.6153,14.77,0.21,Hecale,F,PF,0.221,43,52
DL56,1.0,2022-09-12,14:30:00,0.6042,14.5,0.132,Dryas,M,PD,0.156,40,24
DL57,1.0,2022-09-12,14:30:00,0.6042,14.5,0.106,Dryas,F,PD,0.102,33,24
HL86,5.0,2022-09-12,14:30:00,0.6042,14.5,0.216,Hecale,M,PF,0.228,45,83
HL87,5.0,2022-09-12,14:30:00,0.6042,14.5,0.131,Hecale,M,PF,0.13,36,64
HL85,5.0,2022-09-12,14:30:00,0.6042,14.5,0.159,Hecale,F,PF,0.168,40,47
HL89,5.0,2022-09-12,14:30:00,0.6042,14.5,0.096,Hecale,M,PF,0.161,35,37
HL92,5.0,2022-09-14,12:00:00,0.5,12.0,0.142,Hecale,M,PD,0.231,45,38
DL58,1.0,2022-09-14,12:00:00,0.5,12.0,0.145,Dryas,M,PF,0.177,41,27
HL93,5.0,2022-09-14,12:00:00,0.5,12.0,0.225,Hecale,F,PD,0.215,42,59
HL91,5.0,2022-09-14,12:00:00,0.5,12.0,0.171,Hecale,M,PD,0.227,45,69
HL81,9.0,2022-09-16,13:24:00,0.5583,13.4,0.168,Hecale,F,PD,0.208,42,75
HL79,9.0,2022-09-16,13:24:00,0.5583,13.4,0.237,Hecale,F,PF,0.224,44,115
DL60,1.0,2022-09-19,13:00:00,0.5417,13.0,0.172,Dryas,M,PF,0.202,43,27
DL61,1.0,2022-09-19,13:00:00,0.5417,13.0,0.168,Dryas,M,PD,0.19,41,42
DL49,3.0,2022-09-21,16:00:00,0.6667,16.0,0.183,Dryas,F,PF,0.246,44,22
DL50,3.0,2022-09-21,16:00:00,0.6667,16.0,0.201,Dryas,M,PD,0.287,47,38
DL46,3.0,2022-09-21,16:00:00,0.6667,16.0,0.113,Dryas,M,PF,0.169,40,22
DL51,3.0,2022-09-21,16:00:00,0.6667,16.0,0.094,Dryas,M,PD,0.14,38,22
DL52,3.0,2022-09-21,16:00:00,0.6667,16.0,0.086,Dryas,M,PD,0.118,37,22
DL63,1.0,2022-09-21,16:00:00,0.6667,16.0,0.096,Dryas,F,PD,0.139,37,27
DL68,1.0,2022-09-23,15:20:00,0.6389,15.33,0.184,Dryas,M,PF,0.186,42,21
DL65,1.0,2022-09-23,15:20:00,0.6389,15.33,0.155,Dryas,F,PD,0.132,37,22
DL70,1.0,2022-09-23,15:20:00,0.6389,15.33,0.154,Dryas,F,PF,0.151,37,16
DL67,1.0,2022-09-23,15:20:00,0.6389,15.33,0.175,Dryas,M,PD,0.2,42,7
DL69,1.0,2022-09-23,15:20:00,0.6389,15.33,0.14,Dryas,M,PF,0.16,39,21
DL64,1.0,2022-09-23,15:20:00,0.6389,15.33,0.141,Dryas,M,PF,0.159,40,20
DL66,1.0,2022-09-23,15:20:00,0.6389,15.33,0.144,Dryas,M,PD,0.164,46,21
HL83,7.0,2022-09-23,15:20:00,0.6389,15.33,0.187,Hecale,M,PF,0.22,43,56
HL82,7.0,2022-09-23,15:20:00,0.6389,15.33,0.233,Hecale,F,PF,0.221,43,52
HL96,1.0,2022-09-26,12:17:00,0.5118,12.28,0.144,Hecale,M,PF,0.156,38,48
HL97,1.0,2022-09-26,12:17:00,0.5118,12.28,0.13,Hecale,M,PF,0.146,39,51
DL72,1.0,2022-09-26,12:17:00,0.5118,12.28,0.144,Dryas,M,PF,0.172,40,41
DL78,1.0,2022-09-26,12:17:00,0.5118,12.28,0.22,Dryas,M,PD,0.206,43,20
HL87,7.0,2022-09-26,12:17:00,0.5118,12.28,0.144,Hecale,M,PF,0.13,36,64
HL86,7.0,2022-09-26,12:17:00,0.5118,12.28,0.211,Hecale,M,PF,0.228,45,83
DL56,3.0,2022-09-26,12:17:00,0.5118,12.28,0.103,Dryas,M,PD,0.156,40,24
HL95,1.0,2022-09-26,12:17:00,0.5118,12.28,0.113,Hecale,F,PF,0.113,34,22
DL57,3.0,2022-09-26,12:17:00,0.5118,12.28,0.086,Dryas,F,PD,0.102,33,24
HL93,7.0,2022-09-28,12:35:00,0.5243,12.58,0.187,Hecale,F,PD,0.215,42,59
DL76,1.0,2022-09-28,12:35:00,0.5243,12.58,0.087,Dryas,M,PD,0.101,35,17
DL74,1.0,2022-09-28,12:35:00,0.5243,12.58,0.078,Dryas,M,PF,0.095,30,10
DL75,1.0,2022-09-28,12:35:00,0.5243,12.58,0.108,Dryas,M,PD,0.123,36,35
DL58,3.0,2022-09-28,12:35:00,0.5243,12.58,0.116,Dryas,M,PF,0.177,41,27
DL73,1.0,2022-09-28,12:35:00,0.5243,12.58,0.171,Dryas,F,PF,0.136,37,37
HL91,7.0,2022-09-28,12:35:00,0.5243,12.58,0.158,Hecale,M,PD,0.227,45,69
DL77,1.0,2022-09-30,12:12:00,0.5083,12.2,0.177,Dryas,M,PF,0.198,44,8
DL86,1.0,2022-09-30,12:12:00,0.5083,12.2,0.153,Dryas,M,PD,0.196,42,16
DL84,1.0,2022-09-30,12:12:00,0.5083,12.2,0.142,Dryas,M,PF,0.14,39,42
HL79,11.0,2022-09-30,12:12:00,0.5083,12.2,0.218,Hecale,F,PF,0.224,44,115
DL85,1.0,2022-09-30,12:12:00,0.5083,12.2,0.139,Dryas,M,PD,0.165,40,33
DL81,1.0,2022-09-30,12:12:00,0.5083,12.2,0.11,Dryas,M,PD,0.125,38,16
DL80,1.0,2022-09-30,12:12:00,0.5083,12.2,0.157,Dryas,M,PF,0.195,42,34
DL79,1.0,2022-09-30,12:12:00,0.5083,12.2,0.2,Dryas,F,PD,0.18,40,15
HL99,1.0,2022-10-03,10:36:00,0.4417,10.6,0.123,Hecale,M,PF,0.131,38,44
DL61,3.0,2022-10-03,10:36:00,0.4417,10.6,0.147,Dryas,M,PD,0.19,41,42
DL88,1.0,2022-10-03,10:36:00,0.4417,10.6,0.158,Dryas,M,PD,0.183,42,11
DL60,3.0,2022-10-03,10:36:00,0.4417,10.6,0.161,Dryas,M,PF,0.202,43,27
DL92,1.0,2022-10-05,11:51:00,0.4938,11.85,0.339,Dryas,F,PD,0.299,44,11
DL63,3.0,2022-10-05,11:51:00,0.4938,11.85,0.076,Dryas,F,PD,0.139,37,27
DL91,1.0,2022-10-05,11:51:00,0.4938,11.85,0.124,Dryas,M,PD,0.134,39,36
DL89,1.0,2022-10-05,11:51:00,0.4938,11.85,0.137,Dryas,F,PF,0.141,39,32
DL90,1.0,2022-10-05,11:51:00,0.4938,11.85,0.131,Dryas,M,PF,0.135,40,32
DL69,3.0,2022-10-05,11:51:00,0.4938,11.85,0.125,Dryas,M,PF,0.16,39,21
DL50,5.0,2022-10-05,11:51:00,0.4938,11.85,0.203,Dryas,M,PD,0.287,47,38
DL96,1.0,2022-10-07,12:17:00,0.5118,12.28,0.225,Dryas,F,PD,0.175,39,21
DL94,1.0,2022-10-07,12:17:00,0.5118,12.28,0.148,Dryas,M,PD,0.183,41,23
DL93,1.0,2022-10-07,12:17:00,0.5118,12.28,0.112,Dryas,M,PF,0.123,38,20
DL65,3.0,2022-10-07,12:17:00,0.5118,12.28,0.159,Dryas,F,PD,0.132,37,22
DL66,3.0,2022-10-07,12:17:00,0.5118,12.28,0.137,Dryas,M,PD,0.164,46,21
DL95,1.0,2022-10-07,12:17:00,0.5118,12.28,0.213,Dryas,F,PF,0.163,38,9
HL96,3.0,2022-10-10,11:49:00,0.4924,11.82,0.116,Hecale,M,PF,0.156,38,48
DL97,1.0,2022-10-10,11:49:00,0.4924,11.82,0.186,Dryas,F,PF,0.183,40,24
HL97,3.0,2022-10-10,11:49:00,0.4924,11.82,0.128,Hecale,M,PF,0.146,39,51
DL72,3.0,2022-10-10,11:49:00,0.4924,11.82,0.114,Dryas,M,PF,0.172,40,41
DL99,1.0,2022-10-10,11:49:00,0.4924,11.82,0.163,Dryas,M,PF,0.203,43,34
HL86,9.0,2022-10-10,11:49:00,0.4924,11.82,0.183,Hecale,M,PF,0.228,45,83
HL87,9.0,2022-10-10,11:49:00,0.4924,11.82,0.12,Hecale,M,PF,0.13,36,64
DL75,3.0,2022-10-12,12:04:00,0.5028,12.07,0.1,Dryas,M,PD,0.123,36,35
DL100,1.0,2022-10-12,12:04:00,0.5028,12.07,0.191,Dryas,F,PF,0.249,43,34
HL91,9.0,2022-10-12,12:04:00,0.5028,12.07,0.143,Hecale,M,PD,0.227,45,69
DL101,1.0,2022-10-12,12:04:00,0.5028,12.07,0.242,Dryas,F,PD,0.25,40,31
DL73,3.0,2022-10-12,12:04:00,0.5028,12.07,0.134,Dryas,F,PF,0.136,37,37
DL84,3.0,2022-10-14,11:32:00,0.4806,11.53,0.119,Dryas,M,PF,0.14,39,42
DL85,3.0,2022-10-14,11:32:00,0.4806,11.53,0.113,Dryas,M,PD,0.165,40,33
HL79,13.0,2022-10-14,11:32:00,0.4806,11.53,0.222,Hecale,F,PF,0.224,44,115
DL80,3.0,2022-10-14,11:32:00,0.4806,11.53,0.138,Dryas,M,PF,0.195,42,34
HL99,3.0,2022-10-17,11:20:00,0.4722,11.33,0.146,Hecale,M,PF,0.131,38,44
DL61,5.0,2022-10-17,11:20:00,0.4722,11.33,0.148,Dryas,M,PD,0.19,41,42
HL100,1.0,2022-10-17,11:20:00,0.4722,11.33,0.108,Hecale,M,PD,0.108,37,29
HL101,1.0,2022-10-17,11:20:00,0.4722,11.33,0.204,Hecale,M,PF,0.217,44,36
DL70T,3.0,2022-10-19,12:50:00,0.5347,12.83,0.113,Dryas,M,PD,0.151,39,30
DL102,1.0,2022-10-19,12:50:00,0.5347,12.83,0.21,Dryas,M,PF,0.201,44,29
DL91,3.0,2022-10-19,12:50:00,0.5347,12.83,0.107,Dryas,M,PD,0.134,39,36
DL89,3.0,2022-10-19,12:50:00,0.5347,12.83,0.114,Dryas,F,PF,0.141,39,32
DL67T,3.0,2022-10-19,12:50:00,0.5347,12.83,0.145,Dryas,M,PF,0.189,42,41
DL90,3.0,2022-10-19,12:50:00,0.5347,12.83,0.112,Dryas,M,PF,0.135,40,32
DL73T,3.0,2022-10-21,11:28:00,0.4778,11.47,0.137,Dryas,M,PD,0.183,41,37
DL77T,3.0,2022-10-21,11:28:00,0.4778,11.47,0.112,Dryas,M,PD,0.14,39,34
DL94,3.0,2022-10-21,11:28:00,0.4778,11.47,0.139,Dryas,M,PD,0.183,41,23
DL78T,3.0,2022-10-21,11:28:00,0.4778,11.47,0.156,Dryas,M,PD,0.193,42,25
DL76T,3.0,2022-10-21,11:28:00,0.4778,11.47,0.126,Dryas,M,PD,0.161,42,34
DL103,1.0,2022-10-21,11:28:00,0.4778,11.47,0.097,Dryas,M,PF,0.108,37,10
DL104,1.0,2022-10-21,11:28:00,0.4778,11.47,0.172,Dryas,M,PF,0.181,43,13
DL105,1.0,2022-10-21,11:28:00,0.4778,11.47,0.128,Dryas,M,PD,0.125,40,25
DL96,3.0,2022-10-21,11:28:00,0.4778,11.47,0.151,Dryas,F,PD,0.175,39,21
HL97,5.0,2022-10-24,11:18:00,0.4708,11.3,0.141,Hecale,M,PF,0.146,39,51
HL86,11.0,2022-10-24,11:18:00,0.4708,11.3,0.17,Hecale,M,PF,0.228,45,83
DL99,3.0,2022-10-24,11:18:00,0.4708,11.3,0.15,Dryas,M,PF,0.203,43,34
DL97,3.0,2022-10-24,11:18:00,0.4708,11.3,0.147,Dryas,F,PF,0.183,40,24
DL100,3.0,2022-10-26,12:00:00,0.5,12.0,0.176,Dryas,F,PF,0.249,43,34
DL101,3.0,2022-10-26,12:00:00,0.5,12.0,0.18,Dryas,F,PD,0.25,40,31
HL100,3.0,2022-10-31,12:30:00,0.5208,12.5,0.097,Hecale,M,PD,0.108,37,29
DL120T,3.0,2022-10-31,12:30:00,0.5208,12.5,0.091,Dryas,M,PF,0.131,38,21
HL101,3.0,2022-10-31,12:30:00,0.5208,12.5,0.239,Hecale,M,PF,0.217,44,36
HL79,15.0,2022-10-31,12:30:00,0.5208,12.5,0.23,Hecale,F,PF,0.224,44,115
DL126T,3.0,2022-10-31,12:30:00,0.5208,12.5,0.122,Dryas,M,PD,0.166,42,31
DL80,5.0,2022-10-31,12:30:00,0.5208,12.5,0.141,Dryas,M,PF,0.195,42,34
DL85,5.0,2022-10-31,12:30:00,0.5208,12.5,0.115,Dryas,M,PD,0.165,40,33
HL99,5.0,2022-10-31,12:30:00,0.5208,12.5,0.162,Hecale,M,PF,0.131,38,44
DL84,5.0,2022-10-31,13:00:00,0.5417,13.0,0.118,Dryas,M,PF,0.14,39,42
DL102,3.0,2022-11-02,12:10:00,0.5069,12.17,0.169,Dryas,M,PF,0.201,44,29
DL91,5.0,2022-11-02,12:10:00,0.5069,12.17,0.101,Dryas,M,PD,0.134,39,36
DL67T,5.0,2022-11-02,12:10:00,0.5069,12.17,0.133,Dryas,M,PF,0.189,42,41
DL105,3.0,2022-11-04,12:54:00,0.5375,12.9,0.116,Dryas,M,PD,0.125,40,25
DL73T,5.0,2022-11-04,12:54:00,0.5375,12.9,0.139,Dryas,M,PD,0.183,41,37
DL76T,5.0,2022-11-04,12:54:00,0.5375,12.9,0.12,Dryas,M,PD,0.161,42,34
HL1,0.0,2022-03-12,14:00:00,0.5833,14.0,0.142,Hecale,F,PF,0.142,37,119
HL7,0.0,2022-04-07,14:00:00,0.5833,14.0,0.182,Hecale,F,PF,0.182,40,119
HL79,0.0,2022-07-15,16:00:00,0.6667,16.0,0.224,Hecale,F,PF,0.224,44,115
HL24,0.0,2022-04-15,14:30:00,0.6042,14.5,0.166,Hecale,F,PF,0.166,40,112
HL45,0.0,2022-04-26,15:00:00,0.625,15.0,0.248,Hecale,F,PD,0.248,45,106
HL21,0.0,2022-04-14,13:00:00,0.5417,13.0,0.247,Hecale,M,PF,0.247,46,96
HL4,0.0,2022-04-03,10:00:00,0.4167,10.0,0.284,Hecale,F,PF,0.284,39,87
HL15,0.0,2022-04-11,12:30:00,0.5208,12.5,0.27,Hecale,M,PF,0.27,47,86
HL5,0.0,2022-04-07,14:00:00,0.5833,14.0,0.211,Hecale,M,PF,0.211,40,83
HL86,0.0,2022-08-07,15:00:00,0.625,15.0,0.228,Hecale,M,PF,0.228,45,83
HL13,0.0,2022-04-09,15:30:00,0.6458,15.5,0.286,Hecale,M,PF,0.286,40,81
HL33,0.0,2022-04-19,12:15:00,0.5104,12.25,0.232,Hecale,M,PF,0.232,43,78
HL17,0.0,2022-04-13,11:30:00,0.4792,11.5,0.171,Hecale,M,PF,0.171,39,77
HL18,0.0,2022-04-13,11:30:00,0.4792,11.5,0.192,Hecale,M,PF,0.192,40,77
HL35,0.0,2022-04-19,12:15:00,0.5104,12.25,0.164,Hecale,F,PD,0.164,40,76
HL38,0.0,2022-04-26,15:00:00,0.625,15.0,0.264,Hecale,F,PD,0.264,45,76
HL81,0.0,2022-07-15,16:00:00,0.6667,16.0,0.208,Hecale,F,PD,0.208,42,75
HL47,0.0,2022-04-29,12:30:00,0.5208,12.5,0.289,Hecale,F,PD,0.289,40,74
HL71,0.0,2022-06-30,14:15:00,0.5938,14.25,0.244,Hecale,M,PD,0.244,43,74
HL60,0.0,2022-05-29,13:00:00,0.5417,13.0,0.238,Hecale,F,PF,0.238,45,71
HL2,0.0,2022-03-15,13:00:00,0.5417,13.0,0.154,Hecale,F,PF,0.154,37,69
HL91,0.0,2022-08-09,16:30:00,0.6875,16.5,0.227,Hecale,M,PD,0.227,45,69
HL50,0.0,2022-04-30,12:00:00,0.5,12.0,0.303,Hecale,M,PD,0.303,45,66
HL77,0.0,2022-07-04,13:00:00,0.5417,13.0,0.235,Hecale,M,PF,0.235,44,66
HL62,0.0,2022-06-05,11:01:00,0.459,11.02,0.225,Hecale,M,PD,0.225,43,65
HL14,0.0,2022-04-11,12:30:00,0.5208,12.5,0.213,Hecale,F,PF,0.213,40,63
HL63,0.0,2022-06-06,13:30:00,0.5625,13.5,0.236,Hecale,F,PD,0.236,45,63
HL55,0.0,2022-05-09,12:30:00,0.5208,12.5,0.168,Hecale,M,PD,0.168,40,59
HL93,0.0,2022-08-10,15:00:00,0.625,15.0,0.215,Hecale,F,PD,0.215,42,59
HL32,0.0,2022-04-18,12:30:00,0.5208,12.5,0.181,Hecale,F,PD,0.181,41,57
HL83,0.0,2022-08-05,15:45:00,0.6563,15.75,0.22,Hecale,M,PF,0.22,43,56
HL11,0.0,2022-04-09,15:30:00,0.6458,15.5,0.31,Hecale,F,PF,0.31,43,55
HL19,0.0,2022-04-13,11:30:00,0.4792,11.5,0.191,Hecale,M,PF,0.191,40,54
HL27,0.0,2022-04-15,14:30:00,0.6042,14.5,0.145,Hecale,F,PD,0.145,37,52
HL82,0.0,2022-08-05,15:45:00,0.6563,15.75,0.221,Hecale,F,PF,0.221,43,52
HL9,0.0,2022-04-08,13:30:00,0.5625,13.5,0.189,Hecale,F,PF,0.189,41,52
HL6,0.0,2022-04-07,14:00:00,0.5833,14.0,0.228,Hecale,F,PF,0.228,43,50
HL72,0.0,2022-07-01,12:40:00,0.5278,12.67,0.182,Hecale,M,PD,0.182,39,49
HL69,0.0,2022-06-29,12:20:00,0.5139,12.33,0.278,Hecale,F,PD,0.278,43,48
HL96,0.0,2022-09-18,16:30:00,0.6875,16.5,0.156,Hecale,M,PF,0.156,38,48
HL25,0.0,2022-04-15,14:30:00,0.6042,14.5,0.162,Hecale,M,PD,0.162,39,47
HL85,0.0,2022-08-07,15:00:00,0.625,15.0,0.168,Hecale,F,PF,0.168,40,47
HL66,0.0,2022-06-29,12:20:00,0.5139,12.33,0.175,Hecale,F,PF,0.175,39,44
HL84,0.0,2022-08-06,13:10:00,0.5486,13.17,0.126,Hecale,F,PD,0.126,36,43
HL31,0.0,2022-04-18,12:30:00,0.5208,12.5,0.181,Hecale,F,PD,0.181,40,42
HL10,0.0,2022-04-08,13:30:00,0.5625,13.5,0.203,Hecale,F,PF,0.203,39,41
HL59,0.0,2022-05-25,12:40:00,0.5278,12.67,0.279,Hecale,M,PD,0.279,44,41
HL48,0.0,2022-04-29,12:30:00,0.5208,12.5,0.135,Hecale,F,PD,0.135,33,40
HL67,0.0,2022-06-29,12:20:00,0.5139,12.33,0.265,Hecale,M,PF,0.265,43,40
HL75,0.0,2022-07-04,13:00:00,0.5417,13.0,0.176,Hecale,F,PD,0.176,41,40
HL80,0.0,2022-07-15,16:00:00,0.6667,16.0,0.197,Hecale,M,PD,0.197,43,40
HL40,0.0,2022-04-26,15:00:00,0.625,15.0,0.204,Hecale,M,PD,0.204,44,38
HL52,0.0,2022-05-01,15:00:00,0.625,15.0,0.208,Hecale,M,PD,0.208,44,38
HL92,0.0,2022-08-10,15:00:00,0.625,15.0,0.231,Hecale,M,PD,0.231,45,38
HL89,0.0,2022-08-07,15:00:00,0.625,15.0,0.161,Hecale,M,PF,0.161,35,37
HL101,0.0,2022-10-10,09:00:00,0.375,9.0,0.217,Hecale,M,PF,0.217,44,36
HL74,0.0,2022-07-04,13:00:00,0.5417,13.0,0.249,Hecale,F,PF,0.249,44,35
HL36,0.0,2022-04-25,13:00:00,0.5417,13.0,0.252,Hecale,F,PD,0.252,44,32
HL100,0.0,2022-10-10,09:00:00,0.375,9.0,0.108,Hecale,M,PD,0.108,37,29
HL30,0.0,2022-04-18,12:30:00,0.5208,12.5,0.153,Hecale,M,PF,0.153,40,29
HL54,0.0,2022-05-06,14:00:00,0.5833,14.0,0.217,Hecale,F,PD,0.217,41,29
HL95,0.0,2022-09-18,16:30:00,0.6875,16.5,0.113,Hecale,F,PF,0.113,34,22
HL43,0.0,2022-04-29,12:30:00,0.5208,12.5,0.18,Hecale,F,PD,0.18,42,20
HL42,0.0,2022-04-27,13:00:00,0.5417,13.0,0.218,Hecale,M,PD,0.218,41,19
HL70,0.0,2022-06-30,14:15:00,0.5938,14.25,0.217,Hecale,M,PF,0.217,42,19
HL49,0.0,2022-04-30,12:00:00,0.5,12.0,0.238,Hecale,M,PD,0.238,40,16
HL90,0.0,2022-08-07,15:00:00,0.625,15.0,0.136,Hecale,M,PD,0.136,39,15
HL39,0.0,2022-04-26,15:00:00,0.625,15.0,0.194,Hecale,F,PD,0.194,44,8
HL3,0.0,2022-03-20,14:00:00,0.5833,14.0,0.118,Hecale,F,PF,0.118,37,7
HL46,0.0,2022-04-29,12:30:00,0.5208,12.5,0.206,Hecale,F,PD,0.206,41,7
HL73,0.0,2022-07-01,12:40:00,0.5278,12.67,0.158,Hecale,F,PF,0.158,40,7
HL28,0.0,2022-04-16,15:30:00,0.6458,15.5,0.273,Hecale,F,PD,0.273,43,6
HL20,0.0,2022-04-14,13:00:00,0.5417,13.0,0.194,Hecale,M,PF,0.194,41,4
HL56,0.0,2022-05-16,12:40:00,0.5278,12.67,0.232,Hecale,M,PD,0.232,41,4
HL76,0.0,2022-07-04,13:00:00,0.5417,13.0,0.199,Hecale,M,PD,0.199,45,4
